Contents,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 1 Summary of key live birth statistics, 1938 to 2014",,,,,,,,,,,England and Wales,,,,
,,,,,,,,,,,,,,,
Year,Number of live births,Total Fertility Rate (TFR)1,"General Fertility Rate (GFR): all live births per 1,000 women aged 15 to 44","Crude Birth Rate (CBR): all births per 1,000 population of all ages",Number of maternities,Number of stillbirths,"Sex ratio: live male births per 1,000 live female births",Mean age of mother at childbirth (years)2,Percentage of live births outside marriage,Percentage of live births to non-UK born mothers,"Live births within marriage per 1,000 married women aged 15 to 443,4","Live births outside marriage per 1,000 unmarried women aged 15 to 443,4",,,
1993,"673,467",1.76,62.7,13.2,"668,511","3,855","1,056",27.9,32.2,12.1,84.2,40.7,,,
1992,"689,656",1.80,63.6,13.6,"683,854","2,944","1,053",27.9,31.2,11.9,85.2,40.8,,,
1991,"699,217",1.82,63.6,13.8,"693,857","3,254","1,052",27.7,30.2,11.7,84.6,40.5,,,
1990,"706,140",1.84,64.2,14.0,"701,030","3,256","1,048",27.7,28.3,11.6,86.7,38.9,,,
1989,"687,725",1.80,62.5,13.6,"682,979","3,236","1,051",27.6,27.0,11.7,85.0,36.4,,,
1988,"693,577",1.82,63.0,13.8,"689,153","3,382","1,048",27.5,25.6,11.7,86.7,35.1,,,
1987,"681,511",1.81,62.0,13.6,"677,467","3,423","1,053",27.5,23.2,11.8,87.1,31.8,,,
1986,"661,018",1.77,60.6,13.2,"657,308","3,549","1,052",27.4,21.4,12.3,86.3,28.9,,,
1985,"656,417",1.78,61.0,13.2,"653,142","3,645","1,054",27.3,19.2,12.3,87.8,26.7,,,
1984,"636,818",1.75,59.8,12.8,"633,965","3,643","1,049",27.3,17.3,12.6,86.7,24.1,,,
1983,"629,134",1.76,59.7,12.7,"626,277","3,631","1,056",27.2,15.8,12.6,86.8,22.4,,,
1982,"625,931",1.76,59.9,12.6,"623,511","3,939","1,055",27.1,14.4,13.0,86.9,21.0,,,
1981,"634,492",1.80,61.3,12.8,"632,350","4,207","1,055",27.0,12.8,13.1,88.8,19.7,,,
1980,"656,234",1.88,64.2,13.2,"654,501","4,773","1,049",26.9,11.8,13.2,92.2,19.6,,,
1979,"638,028",1.84,63.3,12.9,"636,884","5,125","1,060",26.8,10.9,13.1,90.2,18.4,,,
1978,"596,418",1.73,60.1,12.1,"595,515","5,108","1,061",26.7,10.2,13.1,84.7,16.8,,,
1977,"569,259",1.66,58.1,11.5,"569,073","5,405","1,060",26.6,9.7,13.0,80.8,16.1,,,
1976,"584,270",1.71,60.4,11.8,"584,263","5,709","1,058",26.5,9.2,12.4,83.0,16.4,,,
1975,"603,445",1.78,63.0,12.2,"603,666","6,295","1,062",26.4,9.1,11.9,85.5,17.4,,,
1974,"639,885",1.89,67.2,12.9,"640,777","7,175","1,061",26.4,8.8,11.6,90.4,18.4,,,
1973,"675,953",2.00,71.3,13.7,"677,125","7,936","1,065",26.4,8.6,11.5,95.5,19.3,,,
1972,"725,440",2.17,77.0,14.7,"726,715","8,799","1,064",26.5,8.6,11.4,102.8,21.0,,,
1971,"783,155",2.37,83.5,15.9,"784,899","9,899","1,061",26.6,8.4,11.3,111.8,22.2,,,
1970,"784,486",2.40,83.9,16.0,"786,587","10,345","1,058",26.7,8.3,11.7,113.5,21.8,,,
1969,"797,538",2.47,85.3,16.4,"799,763","10,654","1,058",26.9,8.4,11.7,115.8,22.3,,,
1968,"819,272",2.57,87.6,16.9,"822,247","11,848","1,058",27.0,8.5,:,119.2,23.0,,,
1967,"832,164",2.65,88.9,17.2,"835,433","12,528","1,058",27.1,8.4,:,121.5,22.8,,,
1966,"849,823",2.75,90.5,17.7,"853,481","13,243","1,060",27.1,7.9,:,124.8,21.7,,,
1965,"862,725",2.85,91.9,18.1,"866,713","13,841","1,056",27.3,7.7,:,126.9,21.4,,,
1964,"875,972",2.93,92.9,18.5,"880,173","14,546","1,062",27.3,7.2,:,128.7,20.4,,,
1963,"854,055",2.88,91.2,18.2,"858,884","14,989","1,055",27.3,6.9,:,126.9,19.1,,,
1962,"838,736",2.85,90.8,18.0,"844,265","15,464","1,060",27.4,6.6,:,126.1,18.3,,,
1961,"811,281",2.77,89.2,17.6,"817,271","15,727","1,062",27.4,6.0,:,123.8,16.5,,,
1960,"785,005",2.68,86.9,17.1,"791,584","15,819","1,061",27.5,5.4,:,120.8,14.7,,,
1959,"748,501",2.56,83.2,16.5,"755,294","15,901","1,063",27.5,5.1,:,115.4,13.3,,,
1958,"740,715",2.52,82.1,16.4,"747,536","16,288","1,059",27.6,4.9,:,114.3,12.7,,,
1957,"723,381",2.45,80.0,16.1,"730,524","16,615","1,060",27.6,4.8,:,111.7,12.0,,,
1956,"700,335",2.35,77.0,15.7,"707,921","16,405","1,057",27.7,4.8,:,108.2,11.4,,,
1955,"667,811",2.22,72.8,15.0,"675,026","15,829","1,060",27.8,4.7,:,103.7,10.3,,,
1954,"673,651",2.21,73.0,15.2,"681,058","16,200","1,059",27.9,4.7,:,104.8,10.2,,,
1953,"684,372",2.22,73.5,15.5,"691,180","15,681","1,059",28.0,4.7,:,106.4,10.2,,,
1952,"673,735",2.16,71.7,15.3,"680,715","15,636","1,055",28.1,4.8,:,104.6,10.0,,,
1951,"677,529",2.14,71.5,15.5,"684,407","15,985","1,060",28.2,4.8,:,105.5,9.8,,,
1950,"697,097",2.18,72.9,15.5,"704,102","16,084","1,060",28.2,5.1,:,108.6,10.2,,,
1949,"730,518",2.27,76.1,16.8,"738,050","16,947","1,061",28.3,5.1,:,114.4,10.4,,,
1948,"775,306",2.38,80.1,17.9,"783,926","18,399","1,061",28.5,5.4,:,121.7,11.4,,,
1947,"881,026",2.68,90.3,20.5,"891,504","21,795","1,061",28.7,5.3,:,139.7,12.4,,,
1946,"820,719",2.47,83.3,19.2,"832,761","22,915","1,060",29.1,6.6,:,128.7,13.8,,,
1945,"679,937",2.04,68.8,15.9,"690,934","19,333","1,061",29.1,9.3,:,103.9,16.1,,,
1944,"751,478",2.24,75.7,17.7,"763,092","21,306","1,065",29.3,7.3,:,117.4,13.8,,,
1943,"684,334",2.02,68.3,16.2,"697,267","21,262","1,064",29.1,6.4,:,107.6,10.9,,,
1942,"651,503",1.94,65.2,15.6,"665,838","22,383","1,063",28.8,5.6,:,103.8,9.0,,,
1941,"579,091",1.73,57.9,13.9,"592,813","20,876","1,053",28.7,5.4,:,94.1,7.4,,,
1940,"590,120",1.75,58.7,14.1,"622,376","22,779","1,053",28.8,4.3,:,98.8,5.9,,,
1939,"614,479",1.82,61.3,14.8,"636,060","24,320","1,056",28.9,4.2,:,107.0,5.7,,,
1938,"621,204",1.84,62.2,15.1,"614,874","24,729","1,051",29.0,4.2,:,110.0,5.8,,,
,,,,,,,,,,,,,,,
1 The Total Fertility Rate is the average number of live children that a group of women would bear if they experienced the age-specific fertility rates of the calendar year in question throughout their childbearing lifespan.,,,,,,,,,,,,,,,
2 The mean is standardised and shows the mean age of the mothers who had births in the year in question. This measure allows fertility trends to be separated out from the effects of changes in the population’s age structure over time. ,,,,,,,,,,,,,,,
"3 ONS recently completed a consultation surrounding the population estimates by marital status. This resulted in a change in the methodology used to produce the estimates for the years 2002 onwards. Population estimates by marital status for the years 2002 to 2010 have been revised and published in July 2015 alongside new population estimates by marital status for the years 2011 to 2014.  As a result of the change in the methodology, birth rates within and outside of marriage/civil partnership have been revised back to 2002 to reflect the revised population estimates by marital status.",,,,,,,,,,,,,,,
"4 The Human Fertilisation and Embryology Act 2008 contained provisions enabling two females in a same sex couple to register a birth from 1 September 2009 onwards. Due to the small numbers, live births registered to a same sex couple in a marriage or civil partnership (22 in 2009, 335 in 2010, 417 in 2011, 556 in 2012, 655 in 2013, 713 in 2014) are included with marital births while births registered to a same-sex couple outside a marriage or civil partnership (2 in 2009, 140 in 2010, 191 in 2011, 252 in 2012, 259 in 2013, 277 in 2014) are included with births outside marriage. ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Source: Office for National Statistics (ONS),,,,,,Released: ,"Wednesday, July 15, 2015",,,,,,,,
