Area,Age,Year at 30 June,Sex,Value,Flags
"Southland region","20-24 Years","2007","Male",2710,
"Southland region","20-24 Years","2008","Male",2710,
"Southland region","20-24 Years","2009","Male",2780,
"Southland region","20-24 Years","2010","Male",2900,
"Southland region","20-24 Years","2011","Male",2970,
"Southland region","20-24 Years","2012","Male",2950,
"Southland region","20-24 Years","2013","Male",2980,
"Southland region","20-24 Years","2014","Male",3060,
"Southland region","20-24 Years","2015","Male",3140,
"Southland region","20-24 Years","2006","Female",2690,
"Southland region","20-24 Years","2007","Female",2610,
"Southland region","20-24 Years","2008","Female",2580,
"Southland region","20-24 Years","2009","Female",2700,
"Southland region","20-24 Years","2010","Female",2780,
"Southland region","20-24 Years","2011","Female",2830,
"Southland region","20-24 Years","2012","Female",2890,
"Southland region","20-24 Years","2013","Female",2810,
"Southland region","20-24 Years","2014","Female",2790,
"Southland region","20-24 Years","2015","Female",2720,
"Northland region","25-29 Years","2006","Male",3090,
"Northland region","25-29 Years","2007","Male",3110,
"Northland region","25-29 Years","2008","Male",3210,
"Northland region","25-29 Years","2009","Male",3340,
"Northland region","25-29 Years","2010","Male",3480,
"Northland region","25-29 Years","2011","Male",3560,
"Northland region","25-29 Years","2012","Male",3620,
"Northland region","25-29 Years","2013","Male",3590,
"Northland region","25-29 Years","2014","Male",3710,
"Northland region","25-29 Years","2015","Male",3820,
"Northland region","25-29 Years","2006","Female",3470,
"Northland region","25-29 Years","2007","Female",3530,
"Northland region","25-29 Years","2008","Female",3590,
"Northland region","25-29 Years","2009","Female",3600,
"Northland region","25-29 Years","2010","Female",3700,
"Northland region","25-29 Years","2011","Female",3840,
"Northland region","25-29 Years","2012","Female",3830,
"Northland region","25-29 Years","2013","Female",3970,
"Northland region","25-29 Years","2014","Female",4030,
"Northland region","25-29 Years","2015","Female",4190,
"Auckland region","25-29 Years","2006","Male",47630,
"Auckland region","25-29 Years","2007","Male",48900,
"Auckland region","25-29 Years","2008","Male",50300,
"Auckland region","25-29 Years","2009","Male",51240,
"Auckland region","25-29 Years","2010","Male",51900,
"Auckland region","25-29 Years","2011","Male",51850,
"Auckland region","25-29 Years","2012","Male",51820,
"Auckland region","25-29 Years","2013","Male",52590,
"Auckland region","25-29 Years","2014","Male",56750,
"Auckland region","25-29 Years","2015","Male",63440,
"Auckland region","25-29 Years","2006","Female",50810,
"Auckland region","25-29 Years","2007","Female",51880,
"Auckland region","25-29 Years","2008","Female",53110,
"Auckland region","25-29 Years","2009","Female",54060,
"Auckland region","25-29 Years","2010","Female",55050,
"Auckland region","25-29 Years","2011","Female",55420,
"Auckland region","25-29 Years","2012","Female",55360,
"Auckland region","25-29 Years","2013","Female",55960,
"Auckland region","25-29 Years","2014","Female",59120,
"Auckland region","25-29 Years","2015","Female",64240,
"Waikato region","25-29 Years","2006","Male",11520,
"Waikato region","25-29 Years","2007","Male",11730,
"Waikato region","25-29 Years","2008","Male",11840,
"Waikato region","25-29 Years","2009","Male",11960,
"Waikato region","25-29 Years","2010","Male",12200,
"Waikato region","25-29 Years","2011","Male",12210,
"Waikato region","25-29 Years","2012","Male",12250,
"Waikato region","25-29 Years","2013","Male",12380,
"Waikato region","25-29 Years","2014","Male",12870,
"Waikato region","25-29 Years","2015","Male",13490,
"Waikato region","25-29 Years","2006","Female",11690,
"Waikato region","25-29 Years","2007","Female",11900,
"Waikato region","25-29 Years","2008","Female",12070,
"Waikato region","25-29 Years","2009","Female",12260,
"Waikato region","25-29 Years","2010","Female",12350,
"Waikato region","25-29 Years","2011","Female",12610,
"Waikato region","25-29 Years","2012","Female",12790,
"Waikato region","25-29 Years","2013","Female",12960,
"Waikato region","25-29 Years","2014","Female",13280,
"Waikato region","25-29 Years","2015","Female",13870,
"Bay of Plenty region","25-29 Years","2006","Male",6560,
"Bay of Plenty region","25-29 Years","2007","Male",6550,
"Bay of Plenty region","25-29 Years","2008","Male",6460,
"Bay of Plenty region","25-29 Years","2009","Male",6540,
"Bay of Plenty region","25-29 Years","2010","Male",6580,
"Bay of Plenty region","25-29 Years","2011","Male",6650,
"Bay of Plenty region","25-29 Years","2012","Male",6650,
"Bay of Plenty region","25-29 Years","2013","Male",6750,
"Bay of Plenty region","25-29 Years","2014","Male",6860,
"Bay of Plenty region","25-29 Years","2015","Male",7280,
"Bay of Plenty region","25-29 Years","2006","Female",7140,
"Bay of Plenty region","25-29 Years","2007","Female",7170,
"Bay of Plenty region","25-29 Years","2008","Female",7180,
"Bay of Plenty region","25-29 Years","2009","Female",7170,
"Bay of Plenty region","25-29 Years","2010","Female",7210,
"Bay of Plenty region","25-29 Years","2011","Female",7250,
"Bay of Plenty region","25-29 Years","2012","Female",7300,
"Bay of Plenty region","25-29 Years","2013","Female",7500,
"Bay of Plenty region","25-29 Years","2014","Female",7600,
"Bay of Plenty region","25-29 Years","2015","Female",7900,
"Gisborne region","25-29 Years","2006","Male",1130,
"Gisborne region","25-29 Years","2007","Male",1130,
"Gisborne region","25-29 Years","2008","Male",1110,
"Gisborne region","25-29 Years","2009","Male",1120,
"Gisborne region","25-29 Years","2010","Male",1110,
"Gisborne region","25-29 Years","2011","Male",1120,
"Gisborne region","25-29 Years","2012","Male",1150,
"Gisborne region","25-29 Years","2013","Male",1160,
"Gisborne region","25-29 Years","2014","Male",1190,
"Gisborne region","25-29 Years","2015","Male",1240,
"Gisborne region","25-29 Years","2006","Female",1290,
"Gisborne region","25-29 Years","2007","Female",1260,
"Gisborne region","25-29 Years","2008","Female",1270,
"Gisborne region","25-29 Years","2009","Female",1280,
"Gisborne region","25-29 Years","2010","Female",1310,
"Gisborne region","25-29 Years","2011","Female",1300,
"Gisborne region","25-29 Years","2012","Female",1350,
"Gisborne region","25-29 Years","2013","Female",1380,
"Gisborne region","25-29 Years","2014","Female",1390,
"Gisborne region","25-29 Years","2015","Female",1450,
"Hawke's Bay region","25-29 Years","2006","Male",3720,
"Hawke's Bay region","25-29 Years","2007","Male",3730,
"Hawke's Bay region","25-29 Years","2008","Male",3670,
"Hawke's Bay region","25-29 Years","2009","Male",3700,
"Hawke's Bay region","25-29 Years","2010","Male",3720,
"Hawke's Bay region","25-29 Years","2011","Male",3690,
"Hawke's Bay region","25-29 Years","2012","Male",3660,
"Hawke's Bay region","25-29 Years","2013","Male",3680,
"Hawke's Bay region","25-29 Years","2014","Male",3760,
"Hawke's Bay region","25-29 Years","2015","Male",3850,
"Hawke's Bay region","25-29 Years","2006","Female",4110,
"Hawke's Bay region","25-29 Years","2007","Female",4040,
"Hawke's Bay region","25-29 Years","2008","Female",4010,
"Hawke's Bay region","25-29 Years","2009","Female",3960,
"Hawke's Bay region","25-29 Years","2010","Female",3960,
"Hawke's Bay region","25-29 Years","2011","Female",3900,
"Hawke's Bay region","25-29 Years","2012","Female",3920,
"Hawke's Bay region","25-29 Years","2013","Female",4010,
"Hawke's Bay region","25-29 Years","2014","Female",4050,
"Hawke's Bay region","25-29 Years","2015","Female",4160,
"Taranaki region","25-29 Years","2006","Male",2840,
"Taranaki region","25-29 Years","2007","Male",2870,
"Taranaki region","25-29 Years","2008","Male",2930,
"Taranaki region","25-29 Years","2009","Male",2940,
"Taranaki region","25-29 Years","2010","Male",2980,
"Taranaki region","25-29 Years","2011","Male",2960,
"Taranaki region","25-29 Years","2012","Male",3010,
"Taranaki region","25-29 Years","2013","Male",3080,
"Taranaki region","25-29 Years","2014","Male",3150,
"Taranaki region","25-29 Years","2015","Male",3310,
"Taranaki region","25-29 Years","2006","Female",2920,
"Taranaki region","25-29 Years","2007","Female",2900,
"Taranaki region","25-29 Years","2008","Female",2960,
"Taranaki region","25-29 Years","2009","Female",3010,
"Taranaki region","25-29 Years","2010","Female",3030,
"Taranaki region","25-29 Years","2011","Female",3080,
"Taranaki region","25-29 Years","2012","Female",3140,
"Taranaki region","25-29 Years","2013","Female",3280,
"Taranaki region","25-29 Years","2014","Female",3290,
"Taranaki region","25-29 Years","2015","Female",3380,
"Manawatu-Wanganui region","25-29 Years","2006","Male",6290,
"Manawatu-Wanganui region","25-29 Years","2007","Male",6280,
"Manawatu-Wanganui region","25-29 Years","2008","Male",6330,
"Manawatu-Wanganui region","25-29 Years","2009","Male",6380,
"Manawatu-Wanganui region","25-29 Years","2010","Male",6360,
"Manawatu-Wanganui region","25-29 Years","2011","Male",6340,
"Manawatu-Wanganui region","25-29 Years","2012","Male",6330,
"Manawatu-Wanganui region","25-29 Years","2013","Male",6340,
"Manawatu-Wanganui region","25-29 Years","2014","Male",6500,
"Manawatu-Wanganui region","25-29 Years","2015","Male",6910,
"Manawatu-Wanganui region","25-29 Years","2006","Female",6460,
"Manawatu-Wanganui region","25-29 Years","2007","Female",6510,
"Manawatu-Wanganui region","25-29 Years","2008","Female",6560,
"Manawatu-Wanganui region","25-29 Years","2009","Female",6590,
"Manawatu-Wanganui region","25-29 Years","2010","Female",6680,
"Manawatu-Wanganui region","25-29 Years","2011","Female",6690,
"Manawatu-Wanganui region","25-29 Years","2012","Female",6680,
"Manawatu-Wanganui region","25-29 Years","2013","Female",6800,
"Manawatu-Wanganui region","25-29 Years","2014","Female",6930,
"Manawatu-Wanganui region","25-29 Years","2015","Female",7260,
"Otago region","25-29 Years","2006","Male",6020,
"Otago region","25-29 Years","2007","Male",6130,
"Otago region","25-29 Years","2008","Male",6170,
"Otago region","25-29 Years","2009","Male",6180,
"Otago region","25-29 Years","2010","Male",6170,
"Otago region","25-29 Years","2011","Male",6070,
"Otago region","25-29 Years","2012","Male",6020,
"Otago region","25-29 Years","2013","Male",6040,
"Otago region","25-29 Years","2014","Male",6400,
"Otago region","25-29 Years","2015","Male",6820,
"Otago region","25-29 Years","2006","Female",6130,
"Otago region","25-29 Years","2007","Female",6230,
"Otago region","25-29 Years","2008","Female",6300,
"Otago region","25-29 Years","2009","Female",6250,
"Otago region","25-29 Years","2010","Female",6250,
"Otago region","25-29 Years","2011","Female",6150,
"Otago region","25-29 Years","2012","Female",6040,
"Otago region","25-29 Years","2013","Female",6010,
"Otago region","25-29 Years","2014","Female",6300,
"Otago region","25-29 Years","2015","Female",6500,
"Southland region","25-29 Years","2006","Male",2600,
"Southland region","25-29 Years","2007","Male",2600,
"Southland region","25-29 Years","2008","Male",2560,
"Southland region","25-29 Years","2009","Male",2650,
"Southland region","25-29 Years","2010","Male",2650,
"Southland region","25-29 Years","2011","Male",2690,
"Southland region","25-29 Years","2012","Male",2700,
"Southland region","25-29 Years","2013","Male",2750,
"Southland region","25-29 Years","2014","Male",2800,
"Southland region","25-29 Years","2015","Male",3030,
"Southland region","25-29 Years","2006","Female",2640,
"Southland region","25-29 Years","2007","Female",2650,
"Southland region","25-29 Years","2008","Female",2700,
"Southland region","25-29 Years","2009","Female",2740,
"Southland region","25-29 Years","2010","Female",2830,
"Southland region","25-29 Years","2011","Female",2880,
"Southland region","25-29 Years","2012","Female",2820,
"Southland region","25-29 Years","2013","Female",2870,
"Southland region","25-29 Years","2014","Female",2970,
"Southland region","25-29 Years","2015","Female",3060,
"Northland region","30-34 Years","2006","Male",3960,
"Northland region","30-34 Years","2007","Male",3800,
"Northland region","30-34 Years","2008","Male",3640,
"Northland region","30-34 Years","2009","Male",3500,
"Northland region","30-34 Years","2010","Male",3400,
"Northland region","30-34 Years","2011","Male",3400,
"Northland region","30-34 Years","2012","Male",3400,
"Northland region","30-34 Years","2013","Male",3440,
"Northland region","30-34 Years","2014","Male",3520,
"Northland region","30-34 Years","2015","Male",3650,
"Northland region","30-34 Years","2006","Female",4460,
"Northland region","30-34 Years","2007","Female",4350,
"Northland region","30-34 Years","2008","Female",4190,
"Northland region","30-34 Years","2009","Female",4120,
"Northland region","30-34 Years","2010","Female",4040,
"Northland region","30-34 Years","2011","Female",3940,
"Northland region","30-34 Years","2012","Female",3880,
"Northland region","30-34 Years","2013","Female",3900,
"Northland region","30-34 Years","2014","Female",3850,
"Northland region","30-34 Years","2015","Female",3960,
"Auckland region","30-34 Years","2006","Male",49230,
"Auckland region","30-34 Years","2007","Male",47930,
"Auckland region","30-34 Years","2008","Male",46970,
"Auckland region","30-34 Years","2009","Male",47000,
"Auckland region","30-34 Years","2010","Male",47090,
"Auckland region","30-34 Years","2011","Male",47930,
"Auckland region","30-34 Years","2012","Male",48640,
"Auckland region","30-34 Years","2013","Male",50040,
"Auckland region","30-34 Years","2014","Male",52130,
"Auckland region","30-34 Years","2015","Male",55170,
"Auckland region","30-34 Years","2006","Female",54310,
"Auckland region","30-34 Years","2007","Female",53150,
"Auckland region","30-34 Years","2008","Female",52140,
"Auckland region","30-34 Years","2009","Female",51810,
"Auckland region","30-34 Years","2010","Female",52040,
"Auckland region","30-34 Years","2011","Female",52740,
"Auckland region","30-34 Years","2012","Female",53670,
"Auckland region","30-34 Years","2013","Female",55020,
"Auckland region","30-34 Years","2014","Female",57000,
"Auckland region","30-34 Years","2015","Female",59740,
"Waikato region","30-34 Years","2006","Male",11890,
"Waikato region","30-34 Years","2007","Male",11730,
"Waikato region","30-34 Years","2008","Male",11580,
"Waikato region","30-34 Years","2009","Male",11500,
"Waikato region","30-34 Years","2010","Male",11530,
"Waikato region","30-34 Years","2011","Male",11690,
"Waikato region","30-34 Years","2012","Male",11650,
"Waikato region","30-34 Years","2013","Male",11600,
"Waikato region","30-34 Years","2014","Male",11760,
"Waikato region","30-34 Years","2015","Male",12190,
"Waikato region","30-34 Years","2006","Female",12980,
"Waikato region","30-34 Years","2007","Female",12640,
"Waikato region","30-34 Years","2008","Female",12400,
"Waikato region","30-34 Years","2009","Female",12370,
"Waikato region","30-34 Years","2010","Female",12500,
"Waikato region","30-34 Years","2011","Female",12540,
"Waikato region","30-34 Years","2012","Female",12620,
"Waikato region","30-34 Years","2013","Female",12670,
"Waikato region","30-34 Years","2014","Female",12830,
"Waikato region","30-34 Years","2015","Female",13010,
"Bay of Plenty region","30-34 Years","2006","Male",7550,
"Bay of Plenty region","30-34 Years","2007","Male",7400,
"Bay of Plenty region","30-34 Years","2008","Male",7270,
"Bay of Plenty region","30-34 Years","2009","Male",7050,
"Bay of Plenty region","30-34 Years","2010","Male",6890,
"Bay of Plenty region","30-34 Years","2011","Male",6780,
"Bay of Plenty region","30-34 Years","2012","Male",6660,
"Bay of Plenty region","30-34 Years","2013","Male",6540,
"Bay of Plenty region","30-34 Years","2014","Male",6610,
"Bay of Plenty region","30-34 Years","2015","Male",6660,
"Bay of Plenty region","30-34 Years","2006","Female",8550,
"Bay of Plenty region","30-34 Years","2007","Female",8360,
"Bay of Plenty region","30-34 Years","2008","Female",8070,
"Bay of Plenty region","30-34 Years","2009","Female",8010,
"Bay of Plenty region","30-34 Years","2010","Female",7860,
"Bay of Plenty region","30-34 Years","2011","Female",7790,
"Bay of Plenty region","30-34 Years","2012","Female",7700,
"Bay of Plenty region","30-34 Years","2013","Female",7630,
"Bay of Plenty region","30-34 Years","2014","Female",7610,
"Bay of Plenty region","30-34 Years","2015","Female",7700,
"Gisborne region","30-34 Years","2006","Male",1320,
"Gisborne region","30-34 Years","2007","Male",1280,
"Gisborne region","30-34 Years","2008","Male",1240,
"Gisborne region","30-34 Years","2009","Male",1200,
"Gisborne region","30-34 Years","2010","Male",1210,
"Gisborne region","30-34 Years","2011","Male",1180,
"Gisborne region","30-34 Years","2012","Male",1150,
"Gisborne region","30-34 Years","2013","Male",1120,
"Gisborne region","30-34 Years","2014","Male",1110,
"Gisborne region","30-34 Years","2015","Male",1080,
"Gisborne region","30-34 Years","2006","Female",1460,
"Gisborne region","30-34 Years","2007","Female",1420,
"Gisborne region","30-34 Years","2008","Female",1360,
"Gisborne region","30-34 Years","2009","Female",1380,
"Gisborne region","30-34 Years","2010","Female",1350,
"Gisborne region","30-34 Years","2011","Female",1350,
"Gisborne region","30-34 Years","2012","Female",1350,
"Gisborne region","30-34 Years","2013","Female",1370,
"Gisborne region","30-34 Years","2014","Female",1340,
"Gisborne region","30-34 Years","2015","Female",1360,
"Hawke's Bay region","30-34 Years","2006","Male",4360,
"Hawke's Bay region","30-34 Years","2007","Male",4270,
"Hawke's Bay region","30-34 Years","2008","Male",4130,
"Hawke's Bay region","30-34 Years","2009","Male",3980,
"Hawke's Bay region","30-34 Years","2010","Male",3920,
"Hawke's Bay region","30-34 Years","2011","Male",3830,
"Hawke's Bay region","30-34 Years","2012","Male",3740,
"Hawke's Bay region","30-34 Years","2013","Male",3650,
"Hawke's Bay region","30-34 Years","2014","Male",3690,
"Hawke's Bay region","30-34 Years","2015","Male",3640,
"Hawke's Bay region","30-34 Years","2006","Female",4950,
"Hawke's Bay region","30-34 Years","2007","Female",4810,
"Hawke's Bay region","30-34 Years","2008","Female",4660,
"Hawke's Bay region","30-34 Years","2009","Female",4520,
"Hawke's Bay region","30-34 Years","2010","Female",4390,
"Hawke's Bay region","30-34 Years","2011","Female",4340,
"Hawke's Bay region","30-34 Years","2012","Female",4190,
"Hawke's Bay region","30-34 Years","2013","Female",4090,
"Hawke's Bay region","30-34 Years","2014","Female",4060,
"Hawke's Bay region","30-34 Years","2015","Female",4040,
"Taranaki region","30-34 Years","2006","Male",3170,
"Taranaki region","30-34 Years","2007","Male",3120,
"Taranaki region","30-34 Years","2008","Male",3020,
"Taranaki region","30-34 Years","2009","Male",3040,
"Taranaki region","30-34 Years","2010","Male",3030,
"Taranaki region","30-34 Years","2011","Male",3080,
"Taranaki region","30-34 Years","2012","Male",3090,
"Taranaki region","30-34 Years","2013","Male",3160,
"Taranaki region","30-34 Years","2014","Male",3150,
"Taranaki region","30-34 Years","2015","Male",3200,
"Taranaki region","30-34 Years","2006","Female",3500,
"Taranaki region","30-34 Years","2007","Female",3420,
"Taranaki region","30-34 Years","2008","Female",3300,
"Taranaki region","30-34 Years","2009","Female",3220,
"Taranaki region","30-34 Years","2010","Female",3250,
"Taranaki region","30-34 Years","2011","Female",3280,
"Taranaki region","30-34 Years","2012","Female",3220,
"Taranaki region","30-34 Years","2013","Female",3270,
"Taranaki region","30-34 Years","2014","Female",3330,
"Taranaki region","30-34 Years","2015","Female",3330,
"Manawatu-Wanganui region","30-34 Years","2006","Male",6570,
"Manawatu-Wanganui region","30-34 Years","2007","Male",6290,
"Manawatu-Wanganui region","30-34 Years","2008","Male",6110,
"Manawatu-Wanganui region","30-34 Years","2009","Male",6060,
"Manawatu-Wanganui region","30-34 Years","2010","Male",5940,
"Manawatu-Wanganui region","30-34 Years","2011","Male",5940,
"Manawatu-Wanganui region","30-34 Years","2012","Male",5850,
"Manawatu-Wanganui region","30-34 Years","2013","Male",5780,
"Manawatu-Wanganui region","30-34 Years","2014","Male",5910,
"Manawatu-Wanganui region","30-34 Years","2015","Male",5950,
"Manawatu-Wanganui region","30-34 Years","2006","Female",7240,
"Manawatu-Wanganui region","30-34 Years","2007","Female",6890,
"Manawatu-Wanganui region","30-34 Years","2008","Female",6700,
"Manawatu-Wanganui region","30-34 Years","2009","Female",6560,
"Manawatu-Wanganui region","30-34 Years","2010","Female",6440,
"Manawatu-Wanganui region","30-34 Years","2011","Female",6410,
"Manawatu-Wanganui region","30-34 Years","2012","Female",6420,
"Manawatu-Wanganui region","30-34 Years","2013","Female",6390,
"Manawatu-Wanganui region","30-34 Years","2014","Female",6390,
"Manawatu-Wanganui region","30-34 Years","2015","Female",6550,
"Otago region","30-34 Years","2006","Male",6450,
"Otago region","30-34 Years","2007","Male",6280,
"Otago region","30-34 Years","2008","Male",6040,
"Otago region","30-34 Years","2009","Male",5890,
"Otago region","30-34 Years","2010","Male",5780,
"Otago region","30-34 Years","2011","Male",5830,
"Otago region","30-34 Years","2012","Male",5790,
"Otago region","30-34 Years","2013","Male",5800,
"Otago region","30-34 Years","2014","Male",5950,
"Otago region","30-34 Years","2015","Male",6160,
"Otago region","30-34 Years","2006","Female",6610,
"Otago region","30-34 Years","2007","Female",6420,
"Otago region","30-34 Years","2008","Female",6310,
"Otago region","30-34 Years","2009","Female",6290,
"Otago region","30-34 Years","2010","Female",6250,
"Otago region","30-34 Years","2011","Female",6250,
"Otago region","30-34 Years","2012","Female",6260,
"Otago region","30-34 Years","2013","Female",6250,
"Otago region","30-34 Years","2014","Female",6200,
"Otago region","30-34 Years","2015","Female",6420,
"Southland region","30-34 Years","2006","Male",2860,
"Southland region","30-34 Years","2007","Male",2800,
"Southland region","30-34 Years","2008","Male",2780,
"Southland region","30-34 Years","2009","Male",2720,
"Southland region","30-34 Years","2010","Male",2740,
"Southland region","30-34 Years","2011","Male",2770,
"Southland region","30-34 Years","2012","Male",2720,
"Southland region","30-34 Years","2013","Male",2620,
"Southland region","30-34 Years","2014","Male",2720,
"Southland region","30-34 Years","2015","Male",2770,
"Southland region","30-34 Years","2006","Female",3010,
"Southland region","30-34 Years","2007","Female",2930,
"Southland region","30-34 Years","2008","Female",2900,
"Southland region","30-34 Years","2009","Female",2850,
"Southland region","30-34 Years","2010","Female",2810,
"Southland region","30-34 Years","2011","Female",2860,
"Southland region","30-34 Years","2012","Female",2890,
"Southland region","30-34 Years","2013","Female",2910,
"Southland region","30-34 Years","2014","Female",2940,
"Southland region","30-34 Years","2015","Female",3060,
"Northland region","35-39 Years","2006","Male",4790,
"Northland region","35-39 Years","2007","Male",4720,
"Northland region","35-39 Years","2008","Male",4690,
"Northland region","35-39 Years","2009","Male",4610,
"Northland region","35-39 Years","2010","Male",4470,
"Northland region","35-39 Years","2011","Male",4280,
"Northland region","35-39 Years","2012","Male",4060,
"Northland region","35-39 Years","2013","Male",3900,
"Northland region","35-39 Years","2014","Male",3720,
"Northland region","35-39 Years","2015","Male",3630,
"Northland region","35-39 Years","2006","Female",5370,
"Northland region","35-39 Years","2007","Female",5360,
"Northland region","35-39 Years","2008","Female",5300,
"Northland region","35-39 Years","2009","Female",5210,
"Northland region","35-39 Years","2010","Female",5160,
"Northland region","35-39 Years","2011","Female",4970,
"Northland region","35-39 Years","2012","Female",4830,
"Northland region","35-39 Years","2013","Female",4600,
"Northland region","35-39 Years","2014","Female",4420,
"Northland region","35-39 Years","2015","Female",4250,
"Auckland region","35-39 Years","2006","Male",52660,
"Auckland region","35-39 Years","2007","Male",53200,
"Auckland region","35-39 Years","2008","Male",52580,
"Auckland region","35-39 Years","2009","Male",51830,
"Auckland region","35-39 Years","2010","Male",50820,
"Auckland region","35-39 Years","2011","Male",49380,
"Auckland region","35-39 Years","2012","Male",48010,
"Auckland region","35-39 Years","2013","Male",47110,
"Auckland region","35-39 Years","2014","Male",47360,
"Auckland region","35-39 Years","2015","Male",48390,
"Auckland region","35-39 Years","2006","Female",57640,
"Auckland region","35-39 Years","2007","Female",58440,
"Auckland region","35-39 Years","2008","Female",58230,
"Auckland region","35-39 Years","2009","Female",57420,
"Auckland region","35-39 Years","2010","Female",56410,
"Auckland region","35-39 Years","2011","Female",54940,
"Auckland region","35-39 Years","2012","Female",53400,
"Auckland region","35-39 Years","2013","Female",52210,
"Auckland region","35-39 Years","2014","Female",52290,
"Auckland region","35-39 Years","2015","Female",53190,
"Waikato region","35-39 Years","2006","Male",13410,
"Waikato region","35-39 Years","2007","Male",13420,
"Waikato region","35-39 Years","2008","Male",13380,
"Waikato region","35-39 Years","2009","Male",13230,
"Waikato region","35-39 Years","2010","Male",13030,
"Waikato region","35-39 Years","2011","Male",12600,
"Waikato region","35-39 Years","2012","Male",12300,
"Waikato region","35-39 Years","2013","Male",11980,
"Waikato region","35-39 Years","2014","Male",11800,
"Waikato region","35-39 Years","2015","Male",11730,
"Waikato region","35-39 Years","2006","Female",14790,
"Waikato region","35-39 Years","2007","Female",14860,
"Waikato region","35-39 Years","2008","Female",14870,
"Waikato region","35-39 Years","2009","Female",14670,
"Waikato region","35-39 Years","2010","Female",14400,
"Waikato region","35-39 Years","2011","Female",13840,
"Waikato region","35-39 Years","2012","Female",13420,
"Waikato region","35-39 Years","2013","Female",13110,
"Waikato region","35-39 Years","2014","Female",12940,
"Waikato region","35-39 Years","2015","Female",13010,
"Bay of Plenty region","35-39 Years","2006","Male",8420,
"Bay of Plenty region","35-39 Years","2007","Male",8490,
"Bay of Plenty region","35-39 Years","2008","Male",8540,
"Bay of Plenty region","35-39 Years","2009","Male",8460,
"Bay of Plenty region","35-39 Years","2010","Male",8340,
"Bay of Plenty region","35-39 Years","2011","Male",8050,
"Bay of Plenty region","35-39 Years","2012","Male",7750,
"Bay of Plenty region","35-39 Years","2013","Male",7520,
"Bay of Plenty region","35-39 Years","2014","Male",7220,
"Bay of Plenty region","35-39 Years","2015","Male",7080,
"Bay of Plenty region","35-39 Years","2006","Female",9840,
"Bay of Plenty region","35-39 Years","2007","Female",9880,
"Bay of Plenty region","35-39 Years","2008","Female",9900,
"Bay of Plenty region","35-39 Years","2009","Female",9750,
"Bay of Plenty region","35-39 Years","2010","Female",9610,
"Bay of Plenty region","35-39 Years","2011","Female",9240,
"Bay of Plenty region","35-39 Years","2012","Female",8960,
"Bay of Plenty region","35-39 Years","2013","Female",8610,
"Bay of Plenty region","35-39 Years","2014","Female",8430,
"Bay of Plenty region","35-39 Years","2015","Female",8250,
"Gisborne region","35-39 Years","2006","Male",1430,
"Gisborne region","35-39 Years","2007","Male",1440,
"Gisborne region","35-39 Years","2008","Male",1430,
"Gisborne region","35-39 Years","2009","Male",1430,
"Gisborne region","35-39 Years","2010","Male",1420,
"Gisborne region","35-39 Years","2011","Male",1370,
"Gisborne region","35-39 Years","2012","Male",1350,
"Gisborne region","35-39 Years","2013","Male",1270,
"Gisborne region","35-39 Years","2014","Male",1210,
"Gisborne region","35-39 Years","2015","Male",1210,
"Gisborne region","35-39 Years","2006","Female",1650,
"Gisborne region","35-39 Years","2007","Female",1670,
"Gisborne region","35-39 Years","2008","Female",1640,
"Gisborne region","35-39 Years","2009","Female",1620,
"Gisborne region","35-39 Years","2010","Female",1580,
"Gisborne region","35-39 Years","2011","Female",1540,
"Gisborne region","35-39 Years","2012","Female",1470,
"Gisborne region","35-39 Years","2013","Female",1410,
"Gisborne region","35-39 Years","2014","Female",1420,
"Gisborne region","35-39 Years","2015","Female",1360,
"Hawke's Bay region","35-39 Years","2006","Male",4940,
"Hawke's Bay region","35-39 Years","2007","Male",4940,
"Hawke's Bay region","35-39 Years","2008","Male",4930,
"Hawke's Bay region","35-39 Years","2009","Male",4840,
"Hawke's Bay region","35-39 Years","2010","Male",4690,
"Hawke's Bay region","35-39 Years","2011","Male",4550,
"Hawke's Bay region","35-39 Years","2012","Male",4390,
"Hawke's Bay region","35-39 Years","2013","Male",4200,
"Hawke's Bay region","35-39 Years","2014","Male",4020,
"Hawke's Bay region","35-39 Years","2015","Male",3990,
"Hawke's Bay region","35-39 Years","2006","Female",5430,
"Hawke's Bay region","35-39 Years","2007","Female",5520,
"Hawke's Bay region","35-39 Years","2008","Female",5490,
"Hawke's Bay region","35-39 Years","2009","Female",5520,
"Hawke's Bay region","35-39 Years","2010","Female",5520,
"Hawke's Bay region","35-39 Years","2011","Female",5290,
"Hawke's Bay region","35-39 Years","2012","Female",5060,
"Hawke's Bay region","35-39 Years","2013","Female",4850,
"Hawke's Bay region","35-39 Years","2014","Female",4650,
"Hawke's Bay region","35-39 Years","2015","Female",4480,
"Taranaki region","35-39 Years","2006","Male",3600,
"Taranaki region","35-39 Years","2007","Male",3570,
"Taranaki region","35-39 Years","2008","Male",3580,
"Taranaki region","35-39 Years","2009","Male",3550,
"Taranaki region","35-39 Years","2010","Male",3540,
"Taranaki region","35-39 Years","2011","Male",3420,
"Taranaki region","35-39 Years","2012","Male",3360,
"Taranaki region","35-39 Years","2013","Male",3220,
"Taranaki region","35-39 Years","2014","Male",3250,
"Taranaki region","35-39 Years","2015","Male",3230,
"Taranaki region","35-39 Years","2006","Female",3890,
"Taranaki region","35-39 Years","2007","Female",3880,
"Taranaki region","35-39 Years","2008","Female",3910,
