contents,,,,,,,,,,,,,,,,,,,
"Table 1b: Deaths (numbers and rates) by area of usual residence (regions/health areas)‚ 2014 registrations, United Kingdom and constituent countries",,,,,,,,,,,,,,,,,,,United Kingdom
"England: Regions, Wales: Local Health Boards",,,,,,,,,,,,,,,,,,,and constituent countries
"Scotland: NHS Board Areas, Northern Ireland: Health and Social Care Trusts",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Populations,,,Deaths (numbers),,,,,,Rates,,,,,,,,,
Highland                         ,320.8,157.5,163.3,"3,367","1,690","1,677",4,2,12,10.5,"1,008.8","1,195.4",854.9,1.3,u,,u,3.9,u
Lanarkshire                      ,653.3,315.2,338.1,"6,688","3,205","3,483",28,23,53,10.2,"1,220.2","1,416.8","1,070.4",3.9,,3.2,,7.4,
Lothian                          ,858.1,417.0,441.0,"7,481","3,592","3,889",32,19,50,8.7,"1,064.3","1,244.5",926.8,3.3,,2.0,u,5.2,
Orkney                           ,21.6,10.7,10.9,205,109,96,0,0,1,9.5,920.0,"1,072.8",786.1,,u,,u,,u
Shetland                         ,23.2,11.8,11.4,225,105,120,1,1,2,9.7,"1,068.2","1,083.3","1,004.0",,u,,u,,u
Tayside                          ,413.8,200.9,212.9,"4,408","2,134","2,274",23,12,18,10.7,"1,033.0","1,221.8",892.2,5.5,,2.8,u,4.3,u
Western Isles                    ,27.3,13.4,13.8,346,186,160,0,0,1,12.7,"1,068.4","1,419.4",808.5,,u,,u,,u
,,,,,,,,,,,,,,,,,,,
NORTHERN IRELAND4                 ,"1,840.5",902.7,937.8,"14,678","7,024","7,654",118,96,161,8.0,"1,005.7","1,167.9",884.2,4.8,,3.9,,6.5,
Health and Social Care Trusts,,,,,,,,,,,,,,,,,,,
Belfast HSCT                     ,351.6,169.8,181.8,"3,214","1,532","1,682",23,18,38,9.1,"1,096.7","1,316.3",937.4,4.9,,3.8,u,8.0,
Northern HSCT                    ,469.1,229.9,239.1,"3,693","1,795","1,898",25,23,38,7.9,958.7,"1,130.9",832.7,4.3,,3.9,,6.4,
South Eastern HSCT               ,352.3,171.4,180.9,"2,894","1,352","1,542",20,14,23,8.2,960.2,"1,110.3",852.9,4.6,,3.2,u,5.3,
Southern HSCT                    ,369.4,183.6,185.8,"2,635","1,267","1,368",25,18,35,7.1,"1,008.5","1,154.4",896.3,4.5,,3.3,u,6.3,
Western HSCT                     ,298.2,148.0,150.2,"2,242","1,078","1,164",25,23,27,7.5,"1,045.2","1,157.7",948.5,6.0,,5.5,,6.5,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"1  The age-standardised mortality rates for 2014 are standardised to the 2013 European Standard Population, expressed per 100,000 population. Age-standardised rates are used to allow comparison between populations which may contain different ",,,,,,,,,,,,,,,,,,,
proportions of people of different ages. Age-standardised mortality rates (ASMRs) for Scotland and Northern Ireland will differ from those published by National Records of Scotland and Northern Ireland Statistics and Research Agency as their published ,,,,,,,,,,,,,,,,,,,
ASMRs are based on only population data. ASMRs published here use live births instead of the population under 1.,,,,,,,,,,,,,,,,,,,
"2  The deaths of those whose usual residence is outside England and Wales are included in total figures for England and Wales, but excluded from any sub-division of England and Wales.",,,,,,,,,,,,,,,,,,,
"3  The deaths of those whose usual residence is outside Scotland are included in total figures for Scotland, and are also included any sub-division of Scotland based on where the death occurred.",,,,,,,,,,,,,,,,,,,
"4  The deaths of those whose usual residence is outside Northern Ireland are included in total figures for Northern Ireland, and are also included any sub-division of Northern Ireland based on where the death occurred.",,,,,,,,,,,,,,,,,,,
u  low reliability,,,,,,,,,,,,,,,,,,,
:   denotes not available,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Source: Office for National Statistics‚ National Records Scotland‚ Northern Ireland Statistics and Research Agency,,,,,,,,Released: ,"Wednesday, January 27, 2016",,,,,,,,,,
