"Permanent & long-term migration by age, sex and NZ area (Annual-Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Arrivals","","","","","","","","","","","","","","","","","","","","","","","",""
" "," ","65-69 years",2,2,0,0,1,4,3,1,4,6,3,3,3,5,0,1,3,2,3,5,5,6,10,6,4
" "," ","70-74 years",0,0,1,2,0,1,3,1,2,1,2,0,1,1,2,3,0,2,0,2,1,3,2,3,3
" "," ","75 years and over",6,2,3,2,1,3,1,2,2,0,6,4,1,1,2,5,2,3,0,2,6,7,4,1,5
" ","Whangarei District","0-4 years",33,25,27,34,20,20,14,13,13,20,25,23,29,32,24,38,27,35,37,21,31,29,37,38,38
" "," ","5-9 years",15,15,23,23,24,23,24,14,12,24,11,30,36,19,18,36,28,30,16,29,22,20,18,24,45
" "," ","10-14 years",18,15,21,32,20,15,18,9,15,16,20,25,19,24,19,22,26,28,18,33,18,15,18,21,25
" "," ","15-19 years",35,34,44,54,30,47,45,33,34,32,52,39,35,36,35,27,41,51,43,44,26,50,43,43,46
" "," ","20-24 years",58,84,49,80,47,44,43,53,54,49,59,49,40,36,41,45,45,58,56,53,36,32,60,49,59
" "," ","25-29 years",79,67,51,90,70,82,74,59,72,64,87,82,86,91,74,75,76,65,82,80,75,53,69,74,106
" "," ","30-34 years",33,35,52,45,46,50,33,35,38,27,29,48,59,63,45,54,36,52,57,49,31,40,45,55,64
" "," ","35-39 years",23,20,18,28,34,20,26,34,26,29,30,36,43,29,42,35,45,46,24,33,33,32,29,34,53
" "," ","40-44 years",13,14,15,25,13,20,19,18,9,22,22,26,35,31,35,28,29,39,24,24,22,20,32,22,27
" "," ","45-49 years",9,12,11,20,9,14,21,11,12,14,16,19,17,26,21,21,17,24,19,23,20,11,18,24,23
" "," ","50-54 years",8,8,8,14,8,8,8,7,10,12,15,23,18,27,19,12,20,10,17,20,22,14,22,25,32
" "," ","55-59 years",6,10,7,6,4,3,4,9,9,8,8,9,17,12,15,6,14,18,15,14,14,18,15,18,24
" "," ","60-64 years",3,2,6,8,3,4,5,6,6,11,5,6,8,8,16,9,16,7,13,14,9,16,22,22,17
" "," ","65-69 years",3,3,0,3,1,2,9,2,5,2,5,5,4,4,10,4,6,7,8,10,9,9,7,7,10
" "," ","70-74 years",4,2,2,3,3,2,2,5,1,1,1,3,3,3,3,3,6,2,0,2,0,3,3,7,7
" "," ","75 years and over",1,3,6,7,6,4,4,4,4,2,2,5,2,1,6,2,8,4,10,4,2,4,4,6,5
" ","Kaipara District","0-4 years",3,3,17,4,4,10,4,4,7,4,5,3,3,2,7,2,5,5,0,4,7,1,10,10,13
" "," ","5-9 years",3,2,2,3,4,1,6,2,5,1,7,4,2,5,3,2,6,2,3,9,6,3,1,8,3
" "," ","10-14 years",4,1,3,3,2,0,3,2,6,4,5,6,3,6,2,0,1,0,4,1,3,1,1,7,2
" "," ","15-19 years",1,6,3,4,1,2,7,5,4,2,6,3,3,5,9,5,8,7,5,6,1,5,9,14,4
" "," ","20-24 years",23,14,16,13,13,14,9,12,12,8,3,7,10,5,7,7,6,12,8,11,11,10,15,12,18
" "," ","25-29 years",17,10,15,18,15,17,8,9,17,13,13,19,17,16,8,15,10,15,14,8,15,12,17,20,22
" "," ","30-34 years",10,12,10,8,4,7,6,3,6,5,6,11,11,11,11,3,5,12,8,7,3,10,7,7,11
" "," ","35-39 years",1,3,4,2,6,7,9,4,9,1,3,4,3,3,7,5,2,6,6,5,7,2,5,10,7
" "," ","40-44 years",2,0,1,2,4,2,4,2,1,4,5,7,3,7,5,0,2,3,2,4,0,2,4,3,0
" "," ","45-49 years",0,1,2,0,1,0,1,3,0,1,2,2,1,3,3,4,2,5,3,3,3,4,3,6,6
" "," ","50-54 years",1,1,0,0,0,2,0,2,1,2,1,0,2,1,2,1,0,2,3,3,0,0,10,7,6
" "," ","55-59 years",1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,5,1,5,1,2,0,2,4,1,2
" "," ","60-64 years",0,0,1,1,1,0,0,0,3,1,2,1,1,2,3,1,1,1,1,3,0,0,5,2,3
" "," ","65-69 years",0,0,2,0,1,0,1,1,0,1,0,0,2,0,1,0,3,1,1,2,3,1,1,1,5
" "," ","70-74 years",1,0,0,0,0,1,2,1,1,0,0,0,0,0,0,1,0,0,0,2,1,2,0,1,2
" "," ","75 years and over",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,1,2
" ","Rodney District (to 10.2010)","0-4 years",26,16,34,27,29,24,18,24,19,21,22,43,32,33,48,40,52,33,54,41,0,0,0,0,0
" "," ","5-9 years",18,24,29,25,24,28,24,17,27,28,23,47,37,44,29,51,49,35,36,20,0,0,0,0,0
" "," ","10-14 years",13,24,22,22,24,18,16,14,18,27,19,29,40,33,53,50,38,38,35,25,0,0,0,0,0
" "," ","15-19 years",26,26,47,51,39,32,30,35,38,37,45,56,52,44,38,47,44,41,50,40,0,0,0,0,0
" "," ","20-24 years",53,53,55,45,55,55,59,40,37,37,43,50,48,39,48,56,63,70,51,51,0,0,0,0,0
" "," ","25-29 years",72,66,62,67,64,82,57,62,80,69,69,69,89,88,87,78,96,88,114,69,0,0,0,0,0
" "," ","30-34 years",36,50,46,54,52,58,40,39,46,39,57,70,70,74,82,74,52,67,90,59,0,0,0,0,0
" "," ","35-39 years",24,24,21,30,38,35,39,27,29,39,36,57,47,58,45,86,54,53,43,50,0,0,0,0,0
" "," ","40-44 years",13,13,21,21,27,35,21,20,26,13,27,20,44,35,45,39,53,30,31,40,0,0,0,0,0
" "," ","45-49 years",11,11,15,12,13,18,12,13,20,4,13,25,22,23,25,34,19,25,28,27,0,0,0,0,0
" "," ","50-54 years",11,9,13,8,11,9,28,13,17,15,14,12,14,19,21,25,23,17,21,14,0,0,0,0,0
" "," ","55-59 years",9,11,6,8,5,15,6,10,6,11,9,19,10,18,9,25,20,26,22,15,0,0,0,0,0
" "," ","60-64 years",3,5,4,6,5,6,6,6,4,5,16,12,8,11,7,19,4,12,27,18,0,0,0,0,0
" "," ","65-69 years",5,5,6,7,6,6,6,10,2,5,4,3,3,3,7,9,13,9,9,13,0,0,0,0,0
" "," ","70-74 years",7,6,0,6,4,5,1,4,3,2,4,3,7,5,5,5,7,2,7,5,0,0,0,0,0
" "," ","75 years and over",6,7,0,6,8,4,2,6,4,9,5,8,7,3,12,7,9,9,11,7,0,0,0,0,0
" ","North Shore City (to 10.2010)","0-4 years",98,105,145,156,205,175,165,134,116,103,125,165,140,167,136,175,140,152,163,107,0,0,0,0,0
" "," ","5-9 years",98,91,127,150,223,171,186,130,116,119,134,181,141,146,130,202,168,138,147,131,0,0,0,0,0
" "," ","10-14 years",73,89,127,153,213,180,169,141,91,100,171,184,168,167,135,174,148,160,171,128,0,0,0,0,0
" "," ","15-19 years",124,170,187,199,272,203,159,146,103,159,251,249,237,250,177,219,208,237,237,259,0,0,0,0,0
" "," ","20-24 years",289,235,246,288,269,252,225,190,212,221,256,280,319,352,295,334,327,317,320,262,0,0,0,0,0
" "," ","25-29 years",295,278,312,369,394,426,352,361,332,356,351,405,416,431,394,512,431,393,427,361,0,0,0,0,0
" "," ","30-34 years",167,178,238,282,370,321,269,207,203,223,239,351,293,322,259,339,289,300,273,220,0,0,0,0,0
" "," ","35-39 years",112,112,178,232,302,250,252,191,186,153,208,248,213,238,233,252,252,238,203,165,0,0,0,0,0
" "," ","40-44 years",96,128,162,181,227,181,165,127,111,124,166,193,188,153,137,214,173,184,166,123,0,0,0,0,0
" "," ","45-49 years",61,51,78,119,122,126,103,90,67,80,87,105,102,119,77,135,95,103,114,95,0,0,0,0,0
" "," ","50-54 years",34,43,41,64,52,64,68,48,61,69,54,78,58,61,71,52,68,86,75,75,0,0,0,0,0
" "," ","55-59 years",25,31,29,44,35,30,58,42,30,41,47,55,56,72,49,78,78,75,79,62,0,0,0,0,0
" "," ","60-64 years",25,26,25,18,25,30,37,39,41,33,32,45,41,43,51,56,60,64,63,55,0,0,0,0,0
" "," ","65-69 years",25,22,22,32,24,24,23,40,24,13,28,50,36,33,29,40,42,53,59,42,0,0,0,0,0
" "," ","70-74 years",16,19,18,21,17,23,22,15,11,22,22,24,12,25,24,28,26,21,21,19,0,0,0,0,0
" "," ","75 years and over",9,15,11,19,29,25,22,11,21,13,19,8,28,20,23,29,25,14,27,17,0,0,0,0,0
" ","Waitakere City (to 10.2010)","0-4 years",67,43,81,87,98,113,83,64,63,48,77,86,91,95,94,108,108,122,95,76,0,0,0,0,0
" "," ","5-9 years",64,49,55,67,91,95,94,87,65,74,95,92,99,99,91,105,95,82,86,64,0,0,0,0,0
" "," ","10-14 years",49,46,55,88,130,106,80,57,60,59,73,110,99,114,114,119,105,114,91,77,0,0,0,0,0
" "," ","15-19 years",89,86,78,126,156,131,131,82,82,152,195,193,151,148,106,137,121,133,166,122,0,0,0,0,0
" "," ","20-24 years",140,123,145,152,157,164,145,111,104,112,156,178,177,159,185,171,143,185,186,152,0,0,0,0,0
" "," ","25-29 years",143,123,146,174,197,204,188,164,169,144,198,204,195,212,220,231,197,248,247,142,0,0,0,0,0
" "," ","30-34 years",99,89,92,125,175,163,130,104,112,125,137,189,166,172,183,183,151,171,161,121,0,0,0,0,0
" "," ","35-39 years",61,65,62,99,127,136,113,74,76,81,105,134,143,140,116,129,134,147,121,80,0,0,0,0,0
" "," ","40-44 years",48,41,56,68,86,86,82,60,56,54,86,101,85,85,92,108,110,77,68,50,0,0,0,0,0
" "," ","45-49 years",27,23,44,44,46,49,57,39,30,30,48,70,55,53,57,53,54,70,52,45,0,0,0,0,0
" "," ","50-54 years",26,26,35,27,29,34,43,26,23,29,25,35,34,45,37,57,55,68,50,47,0,0,0,0,0
" "," ","55-59 years",18,25,19,26,28,24,36,40,32,29,44,27,27,42,46,57,53,56,55,59,0,0,0,0,0
" "," ","60-64 years",17,8,14,15,20,19,13,26,14,29,26,30,20,16,32,44,43,35,34,30,0,0,0,0,0
" "," ","65-69 years",15,12,14,10,14,15,15,14,12,23,16,15,11,26,17,25,22,30,26,21,0,0,0,0,0
" "," ","70-74 years",6,13,6,8,10,12,8,6,8,6,14,6,7,12,13,16,16,16,20,12,0,0,0,0,0
" "," ","75 years and over",12,7,9,17,8,10,4,9,5,5,8,9,9,11,8,13,13,15,12,18,0,0,0,0,0
" ","Auckland City (to 10.2010)","0-4 years",289,305,434,576,791,637,513,465,537,462,520,636,596,469,475,449,430,428,413,348,0,0,0,0,0
" "," ","5-9 years",287,318,401,593,820,656,522,429,485,410,568,703,679,419,441,401,415,328,327,257,0,0,0,0,0
" "," ","10-14 years",278,353,488,616,746,557,505,352,435,426,613,743,703,463,407,375,374,357,316,245,0,0,0,0,0
" "," ","15-19 years",449,503,538,660,786,680,602,509,627,774,1228,1492,1313,888,768,749,769,820,872,810,0,0,0,0,0
" "," ","20-24 years",605,595,595,734,946,990,848,802,859,960,1390,1674,1913,1511,1390,1498,1503,1643,1834,1499,0,0,0,0,0
" "," ","25-29 years",739,720,848,1156,1636,1594,1475,1277,1532,1496,1762,1960,2029,1669,1531,1717,1727,1885,1943,1684,0,0,0,0,0
" "," ","30-34 years",499,534,691,994,1420,1277,991,825,970,890,1157,1557,1497,1008,989,991,972,956,835,736,0,0,0,0,0
" "," ","35-39 years",394,460,582,777,1002,896,665,621,661,596,842,1007,995,691,580,657,601,557,524,405,0,0,0,0,0
" "," ","40-44 years",293,320,434,630,722,642,484,437,425,401,582,727,677,516,441,457,416,363,342,276,0,0,0,0,0
" "," ","45-49 years",178,172,237,321,403,388,338,278,290,246,357,432,411,280,267,257,248,263,246,221,0,0,0,0,0
" "," ","50-54 years",109,110,159,153,198,220,242,218,237,197,261,257,288,177,177,167,187,205,198,163,0,0,0,0,0
" "," ","55-59 years",78,68,82,98,139,149,198,215,188,154,196,207,167,150,163,158,197,178,176,167,0,0,0,0,0
" "," ","60-64 years",70,55,55,74,91,108,149,168,154,127,167,161,134,123,103,136,113,140,121,118,0,0,0,0,0
" "," ","65-69 years",44,50,53,66,60,73,86,97,86,90,112,112,85,76,86,113,87,74,90,66,0,0,0,0,0
" "," ","70-74 years",27,29,34,33,46,45,38,48,57,58,64,68,56,47,44,47,54,43,53,43,0,0,0,0,0
" "," ","75 years and over",44,23,36,44,57,54,40,43,60,39,39,54,51,46,40,39,27,59,55,38,0,0,0,0,0
" ","Manukau City (to 10.2010)","0-4 years",180,149,170,204,243,231,215,199,175,189,225,185,224,191,260,273,258,292,285,199,0,0,0,0,0
" "," ","5-9 years",169,123,172,202,266,250,234,240,160,182,232,268,255,235,304,297,246,314,266,183,0,0,0,0,0
" "," ","10-14 years",194,149,212,264,282,241,203,163,140,204,245,264,265,221,278,256,291,311,284,203,0,0,0,0,0
" "," ","15-19 years",272,211,259,252,304,294,238,185,158,255,323,327,301,314,349,335,370,354,427,330,0,0,0,0,0
" "," ","20-24 years",341,249,248,331,316,339,314,274,208,245,318,303,289,286,363,362,371,474,484,340,0,0,0,0,0
" "," ","25-29 years",316,253,309,326,367,393,360,337,295,354,355,374,368,324,389,392,397,453,471,359,0,0,0,0,0
" "," ","30-34 years",210,173,224,291,352,354,311,260,223,242,287,367,360,287,344,334,323,379,357,240,0,0,0,0,0
" "," ","35-39 years",177,143,206,220,279,253,233,213,183,201,240,306,240,229,255,293,298,313,271,189,0,0,0,0,0
" "," ","40-44 years",169,126,181,213,242,218,193,150,128,148,183,217,205,171,217,219,206,222,220,165,0,0,0,0,0
" "," ","45-49 years",82,77,97,112,138,171,132,113,99,82,123,126,118,119,126,126,109,158,144,111,0,0,0,0,0
" "," ","50-54 years",49,50,67,60,65,86,103,94,79,81,88,77,66,88,104,86,116,115,107,97,0,0,0,0,0
" "," ","55-59 years",31,41,47,59,63,70,76,63,49,65,65,71,51,75,78,82,92,108,109,108,0,0,0,0,0
" "," ","60-64 years",35,35,35,52,52,38,52,52,47,48,67,40,50,63,76,80,72,89,88,70,0,0,0,0,0
" "," ","65-69 years",32,25,25,34,34,33,43,29,30,43,32,43,35,42,57,66,41,56,52,48,0,0,0,0,0
" "," ","70-74 years",25,14,26,7,28,24,27,20,16,28,23,28,30,22,30,22,39,26,46,29,0,0,0,0,0
" "," ","75 years and over",19,11,21,27,35,34,25,26,14,21,22,28,25,27,38,27,39,38,39,35,0,0,0,0,0
" ","Papakura District (to 10.2010)","0-4 years",23,21,18,20,18,17,15,14,17,16,12,15,16,14,20,21,26,33,27,18,0,0,0,0,0
" "," ","5-9 years",13,5,13,15,27,17,21,18,15,16,16,13,16,10,19,23,26,18,12,13,0,0,0,0,0
" "," ","10-14 years",11,10,12,15,19,22,12,15,10,11,10,11,14,11,24,22,19,12,16,13,0,0,0,0,0
" "," ","15-19 years",19,18,17,24,21,34,25,18,20,25,32,33,39,25,33,35,32,38,28,31,0,0,0,0,0
" "," ","20-24 years",48,36,49,46,38,40,35,28,29,17,32,31,23,35,34,32,29,46,43,37,0,0,0,0,0
" "," ","25-29 years",40,29,45,45,59,50,68,43,52,42,55,49,41,48,50,38,45,62,63,28,0,0,0,0,0
" "," ","30-34 years",27,19,28,27,35,30,31,18,24,27,24,41,43,37,37,29,37,39,38,22,0,0,0,0,0
" "," ","35-39 years",13,18,19,32,23,25,17,11,13,22,23,31,21,19,34,30,31,22,22,17,0,0,0,0,0
" "," ","40-44 years",10,12,16,17,16,20,12,13,12,11,11,9,16,8,19,28,20,19,19,18,0,0,0,0,0
" "," ","45-49 years",7,12,5,6,15,13,14,8,8,12,8,10,10,8,13,17,12,13,7,4,0,0,0,0,0
" "," ","50-54 years",11,13,10,6,6,3,11,5,8,12,3,9,7,5,3,7,11,23,4,5,0,0,0,0,0
" "," ","55-59 years",2,3,5,2,6,3,8,5,8,1,2,9,11,11,6,9,9,11,12,6,0,0,0,0,0
" "," ","60-64 years",1,3,5,4,5,0,4,4,1,4,3,3,6,5,5,6,9,11,8,6,0,0,0,0,0
" "," ","65-69 years",2,1,1,1,2,0,2,2,2,3,2,0,1,3,4,2,9,4,4,4,0,0,0,0,0
" "," ","70-74 years",3,3,3,1,1,0,0,1,1,0,0,4,2,1,1,0,3,2,5,3,0,0,0,0,0
" "," ","75 years and over",1,0,3,4,5,4,7,2,1,3,3,1,4,1,1,2,3,2,3,5,0,0,0,0,0
" ","Franklin District (to 10.2010)","0-4 years",13,16,17,24,23,18,22,13,14,19,11,14,15,18,22,12,17,20,21,14,0,0,0,0,0
" "," ","5-9 years",5,15,10,15,10,15,8,9,6,20,10,15,17,20,15,14,30,17,17,15,0,0,0,0,0
" "," ","10-14 years",4,8,13,16,7,13,11,3,3,9,14,14,12,16,17,24,22,20,17,8,0,0,0,0,0
" "," ","15-19 years",19,27,17,26,27,25,27,22,17,20,12,19,24,17,24,29,30,21,28,20,0,0,0,0,0
" "," ","20-24 years",52,41,39,41,34,33,32,31,29,24,35,38,31,28,31,41,40,28,29,34,0,0,0,0,0
" "," ","25-29 years",33,38,37,45,39,51,37,29,54,42,57,53,48,56,60,62,68,53,71,54,0,0,0,0,0
" "," ","30-34 years",17,21,27,29,33,23,22,19,24,21,17,24,44,36,48,38,32,44,34,33,0,0,0,0,0
" "," ","35-39 years",9,9,19,15,11,21,22,19,9,17,21,17,21,17,21,26,29,31,27,11,0,0,0,0,0
" "," ","40-44 years",10,7,4,17,17,14,17,7,15,11,13,18,13,13,23,20,31,14,17,10,0,0,0,0,0
" "," ","45-49 years",3,7,9,12,4,12,8,7,4,10,9,10,15,16,13,10,15,16,15,8,0,0,0,0,0
" "," ","50-54 years",1,6,1,5,2,5,6,3,3,8,11,7,7,9,6,15,11,5,13,10,0,0,0,0,0
" "," ","55-59 years",5,5,5,3,4,6,4,0,6,1,4,10,4,9,7,11,11,4,10,7,0,0,0,0,0
" "," ","60-64 years",2,2,4,4,2,5,2,1,2,7,7,6,3,7,5,9,13,10,10,7,0,0,0,0,0
" "," ","65-69 years",3,2,6,4,3,0,5,1,1,5,1,1,4,5,2,5,6,2,2,2,0,0,0,0,0
" "," ","70-74 years",0,2,1,0,1,2,4,1,1,0,1,3,3,2,3,7,0,3,2,1,0,0,0,0,0
" "," ","75 years and over",1,2,1,3,5,4,1,2,4,1,2,2,2,4,4,2,3,5,3,0,0,0,0,0,0
" ","Thames-Coromandel District","0-4 years",6,12,8,17,13,13,5,4,4,3,5,5,9,11,8,12,15,13,12,13,12,14,16,19,9
" "," ","5-9 years",4,2,6,8,12,13,4,2,9,6,7,6,7,8,9,13,7,3,6,8,8,11,7,7,11
" "," ","10-14 years",2,2,6,9,11,4,3,4,3,6,9,1,7,8,6,11,8,4,9,6,7,12,11,5,15
" "," ","15-19 years",12,10,11,21,17,15,13,11,8,12,11,15,8,11,5,12,15,17,13,10,11,11,19,16,29
" "," ","20-24 years",29,29,36,31,35,33,26,27,20,21,28,24,20,23,19,21,33,15,16,20,16,14,9,27,35
" "," ","25-29 years",25,44,40,36,49,42,49,42,30,36,32,38,33,36,30,34,39,36,28,31,19,27,32,30,31
" "," ","30-34 years",10,10,19,25,21,22,19,21,21,13,22,19,32,24,21,27,17,26,23,19,22,13,24,21,26
" "," ","35-39 years",10,6,8,14,14,12,7,13,10,16,6,11,14,13,13,9,12,12,25,12,12,13,16,5,15
" "," ","40-44 years",6,6,9,8,8,5,7,7,5,9,13,9,6,14,12,13,13,13,5,6,9,9,7,17,11
" "," ","45-49 years",3,6,6,5,5,7,2,3,4,4,11,10,5,11,7,8,7,5,4,6,12,5,9,6,15
" "," ","50-54 years",2,4,3,6,1,2,3,7,4,13,7,3,4,5,3,8,10,11,12,9,7,6,11,5,11
" "," ","55-59 years",2,4,2,3,3,1,2,6,4,3,3,3,5,3,6,10,8,2,7,11,11,7,7,8,9
" "," ","60-64 years",5,2,1,2,0,3,2,2,1,3,6,3,5,4,2,3,2,5,4,7,4,9,9,9,11
" "," ","65-69 years",2,0,0,3,1,4,1,1,1,0,0,2,0,2,2,3,0,2,2,2,4,0,3,6,2
" "," ","70-74 years",2,0,2,2,0,1,2,0,3,0,0,0,3,0,1,2,1,2,0,3,2,1,2,2,3
" "," ","75 years and over",0,0,0,2,2,0,1,3,3,0,3,2,0,2,0,3,3,3,4,3,2,3,1,0,1
" ","Hauraki District","0-4 years",9,4,4,4,5,9,7,5,10,3,0,4,5,5,5,5,8,8,4,3,4,4,11,10,4
" "," ","5-9 years",9,2,3,2,8,1,4,6,5,0,2,4,3,7,4,4,10,8,4,3,2,3,6,4,5
" "," ","10-14 years",4,1,0,3,4,2,7,0,1,0,4,4,5,6,3,3,16,5,1,4,8,2,4,2,5
" "," ","15-19 years",10,5,5,3,4,7,3,5,3,3,4,8,4,5,5,1,3,4,7,7,10,6,1,8,8
" "," ","20-24 years",19,15,13,7,8,10,9,18,13,10,7,9,3,5,14,13,10,12,6,9,5,12,13,9,10
" "," ","25-29 years",15,19,13,11,15,15,12,11,18,7,12,16,11,15,19,22,24,14,13,12,5,10,11,8,11
" "," ","30-34 years",15,5,8,9,4,10,7,9,9,5,5,7,10,11,6,14,12,10,11,9,6,10,8,15,2
" "," ","35-39 years",5,1,4,4,3,4,5,5,3,3,5,7,5,6,8,10,11,5,4,6,6,5,4,1,7
" "," ","40-44 years",5,1,3,0,4,3,5,1,4,1,4,1,11,5,2,2,5,8,5,4,3,4,7,4,9
" "," ","45-49 years",1,4,2,2,2,2,4,1,1,3,1,0,2,4,3,5,6,6,3,7,3,4,4,5,3
" "," ","50-54 years",1,2,3,1,4,2,1,2,1,4,2,3,0,2,3,0,3,5,2,7,6,4,1,2,5
" "," ","55-59 years",0,0,1,0,1,2,2,1,2,0,0,0,4,1,2,1,1,3,0,1,4,3,1,6,2
" "," ","60-64 years",1,3,0,1,0,1,1,0,0,2,0,0,3,2,1,0,2,2,1,2,2,1,2,0,3
" "," ","65-69 years",1,0,0,0,0,1,0,0,1,0,0,0,2,3,1,1,0,2,2,2,3,3,3,1,1
" "," ","70-74 years",0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,2,0
" "," ","75 years and over",1,0,3,0,4,1,2,1,0,0,1,0,1,0,0,1,1,2,1,1,0,1,1,1,0
" ","Waikato District","0-4 years",10,4,12,12,9,12,9,6,6,12,15,11,10,12,8,11,15,11,26,16,29,18,22,15,35
" "," ","5-9 years",8,1,8,11,11,4,7,13,2,4,15,11,8,7,8,12,9,12,16,11,10,15,18,21,14
" "," ","10-14 years",6,3,2,13,4,6,6,5,2,5,9,5,8,3,10,7,8,11,13,14,12,8,13,26,18
" "," ","15-19 years",15,8,16,6,13,5,8,8,12,16,23,19,11,13,10,11,12,7,15,20,18,19,23,32,24
" "," ","20-24 years",27,14,13,12,25,26,18,15,26,32,50,33,72,24,38,33,17,25,30,29,28,32,34,39,68
" "," ","25-29 years",32,30,21,25,20,21,28,33,31,30,31,34,37,32,33,29,30,26,39,26,34,49,38,53,73
" "," ","30-34 years",9,7,9,14,12,13,10,18,18,11,18,22,25,18,19,20,26,27,43,30,37,22,34,33,38
" "," ","35-39 years",12,2,7,13,5,10,3,13,11,9,12,21,12,8,11,10,15,19,18,22,13,15,21,30,28
" "," ","40-44 years",6,7,1,5,6,3,4,4,5,6,9,8,4,8,7,9,8,13,12,12,11,11,16,20,19
" "," ","45-49 years",3,1,4,3,2,5,5,4,4,4,5,5,6,7,5,8,5,4,9,4,6,4,14,14,18
" "," ","50-54 years",1,4,2,2,3,5,4,3,7,2,6,2,9,6,6,4,1,6,10,8,4,6,9,12,10
" "," ","55-59 years",0,2,1,3,2,2,5,2,3,1,2,6,2,4,4,4,3,3,5,3,8,3,9,7,8
" "," ","60-64 years",0,1,4,1,2,0,0,1,1,0,1,1,1,1,3,6,2,6,9,4,8,6,8,9,11
" "," ","65-69 years",0,0,0,0,0,1,1,0,1,0,1,0,1,4,2,0,0,1,0,2,7,1,8,4,8
" "," ","70-74 years",0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,3,5,3,0
" "," ","75 years and over",0,2,0,1,2,1,1,2,1,0,0,0,0,4,1,0,2,0,0,3,1,2,4,1,2
" ","Matamata-Piako District","0-4 years",2,18,13,5,4,10,6,5,7,11,11,5,11,12,6,13,12,18,10,4,8,5,14,21,14
" "," ","5-9 years",4,7,13,3,13,7,11,9,5,4,7,4,15,8,2,10,12,10,16,6,5,3,4,13,5
" "," ","10-14 years",5,8,9,6,6,3,6,6,5,3,8,4,6,7,4,6,9,14,9,3,6,6,4,6,9
" "," ","15-19 years",17,11,13,13,22,15,8,13,12,13,9,15,22,13,15,17,11,18,21,10,20,6,16,14,11
" "," ","20-24 years",32,39,27,21,36,40,27,23,13,27,22,24,18,24,16,13,27,28,19,29,20,32,22,32,25
" "," ","25-29 years",29,38,29,29,26,29,31,30,35,36,45,37,48,30,29,23,24,20,31,18,33,26,27,40,29
" "," ","30-34 years",18,22,18,11,13,14,14,8,12,14,15,10,18,15,20,25,19,23,16,15,13,15,16,26,14
" "," ","35-39 years",6,7,8,8,11,9,9,5,7,13,12,7,8,11,11,13,10,17,6,12,7,5,9,7,7
" "," ","40-44 years",5,8,7,8,8,7,5,6,6,4,6,10,9,6,5,7,16,12,16,5,9,4,11,8,11
" "," ","45-49 years",3,2,1,2,3,5,7,7,2,2,4,4,4,9,6,7,11,6,5,4,5,3,8,7,8
" "," ","50-54 years",4,1,5,2,4,1,2,1,4,1,1,5,9,2,3,6,1,2,8,2,4,4,5,6,7
" "," ","55-59 years",2,1,1,0,2,4,3,2,2,1,2,3,2,6,4,7,5,4,3,1,3,4,2,3,5
" "," ","60-64 years",2,2,0,1,1,4,1,3,3,2,1,2,2,4,0,1,2,4,4,3,7,2,2,5,3
" "," ","65-69 years",0,0,0,1,1,0,0,0,0,1,2,0,3,0,2,1,2,2,2,1,2,1,3,0,2
