"LOCATION","Country","HP","Provider","HF","Financing Agent","HC","Function","ICD","Diagnostic Category","AGE","Age Group","GEN","Gender","UNI","Unit","YR","Year","Value","Flag Codes","Flags"
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA300","Diseases of the blood and bloodforming organs","0","0","T","Total","PARCUR","% current expenditure on health","2007","2007",0.00157662495836725,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA300","Diseases of the blood and bloodforming organs","0","0","T","Total","PARCUR","% current expenditure on health","2011","2011",0.00389472848499556,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA400","Endocrine, nutritional and metabolic diseases","0","0","T","Total","PARCUR","% current expenditure on health","2003","2003",0.0110418947891458,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA400","Endocrine, nutritional and metabolic diseases","0","0","T","Total","PARCUR","% current expenditure on health","2005","2005",0.0186788135557244,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA400","Endocrine, nutritional and metabolic diseases","0","0","T","Total","PARCUR","% current expenditure on health","2007","2007",0.0067006560730608,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA400","Endocrine, nutritional and metabolic diseases","0","0","T","Total","PARCUR","% current expenditure on health","2011","2011",0.00449391748268718,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA500","Mental and behavioural disorders","0","0","T","Total","PARCUR","% current expenditure on health","2003","2003",0.00828142109185936,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA500","Mental and behavioural disorders","0","0","T","Total","PARCUR","% current expenditure on health","2005","2005",0.0114619992273763,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA500","Mental and behavioural disorders","0","0","T","Total","PARCUR","% current expenditure on health","2007","2007",0.00827728103142805,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA500","Mental and behavioural disorders","0","0","T","Total","PARCUR","% current expenditure on health","2011","2011",0.0122833744526783,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA600","Diseases of the nervous system","0","0","T","Total","PARCUR","% current expenditure on health","2003","2003",0.0448576975809049,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA600","Diseases of the nervous system","0","0","T","Total","PARCUR","% current expenditure on health","2005","2005",0.0479705893590195,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA600","Diseases of the nervous system","0","0","T","Total","PARCUR","% current expenditure on health","2007","2007",0.0315324991673449,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA600","Diseases of the nervous system","0","0","T","Total","PARCUR","% current expenditure on health","2011","2011",0.0170768864342113,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA900","Diseases of the circulatory system","0","0","T","Total","PARCUR","% current expenditure on health","2003","2003",0.00782134214231162,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA900","Diseases of the circulatory system","0","0","T","Total","PARCUR","% current expenditure on health","2005","2005",0.00849036979805655,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA900","Diseases of the circulatory system","0","0","T","Total","PARCUR","% current expenditure on health","2007","2007",0.00571526547408127,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA900","Diseases of the circulatory system","0","0","T","Total","PARCUR","% current expenditure on health","2011","2011",0.00284614773903522,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB000","Diseases of the respiratory system","0","0","T","Total","PARCUR","% current expenditure on health","2003","2003",0.074992868776282,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB000","Diseases of the respiratory system","0","0","T","Total","PARCUR","% current expenditure on health","2005","2005",0.0929695492887193,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB000","Diseases of the respiratory system","0","0","T","Total","PARCUR","% current expenditure on health","2007","2007",0.19786643227509,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB000","Diseases of the respiratory system","0","0","T","Total","PARCUR","% current expenditure on health","2011","2011",0.0915261193973956,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB100","Diseases of the digestive system","0","0","T","Total","PARCUR","% current expenditure on health","2003","2003",0.0420972238836184,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB100","Diseases of the digestive system","0","0","T","Total","PARCUR","% current expenditure on health","2005","2005",0.0498809225635823,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB100","Diseases of the digestive system","0","0","T","Total","PARCUR","% current expenditure on health","2007","2007",0.0342915928444876,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB100","Diseases of the digestive system","0","0","T","Total","PARCUR","% current expenditure on health","2011","2011",0.0292104636374667,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB200","Diseases of the skin and subcutaneous tissue","0","0","T","Total","PARCUR","% current expenditure on health","2003","2003",0.0165628421837187,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB200","Diseases of the skin and subcutaneous tissue","0","0","T","Total","PARCUR","% current expenditure on health","2005","2005",0.0203768875153357,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB200","Diseases of the skin and subcutaneous tissue","0","0","T","Total","PARCUR","% current expenditure on health","2007","2007",0.0100509841095912,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB200","Diseases of the skin and subcutaneous tissue","0","0","T","Total","PARCUR","% current expenditure on health","2011","2011",0.0116841854549867,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB300","Diseases of musculoskeletal system and connective tissue","0","0","T","Total","PARCUR","% current expenditure on health","2003","2003",0.00805138161708549,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB300","Diseases of musculoskeletal system and connective tissue","0","0","T","Total","PARCUR","% current expenditure on health","2005","2005",0.0110374807374735,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB300","Diseases of musculoskeletal system and connective tissue","0","0","T","Total","PARCUR","% current expenditure on health","2007","2007",0.00630649983346899,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB300","Diseases of musculoskeletal system and connective tissue","0","0","T","Total","PARCUR","% current expenditure on health","2011","2011",0.00539270097922462,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB400","Diseases of the genitourinary system","0","0","T","Total","PARCUR","% current expenditure on health","2003","2003",0.0163328027089449,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB400","Diseases of the genitourinary system","0","0","T","Total","PARCUR","% current expenditure on health","2005","2005",0.0178297765759188,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB400","Diseases of the genitourinary system","0","0","T","Total","PARCUR","% current expenditure on health","2007","2007",0.0112334528283666,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB400","Diseases of the genitourinary system","0","0","T","Total","PARCUR","% current expenditure on health","2011","2011",0.00509310648037881,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB500","Pregnancy, childbirth and the puerperium","0","0","T","Total","PARCUR","% current expenditure on health","2003","2003",0.20795568519558,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB500","Pregnancy, childbirth and the puerperium","0","0","T","Total","PARCUR","% current expenditure on health","2005","2005",0.161317026163075,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB500","Pregnancy, childbirth and the puerperium","0","0","T","Total","PARCUR","% current expenditure on health","2007","2007",0.103663091012646,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB500","Pregnancy, childbirth and the puerperium","0","0","T","Total","PARCUR","% current expenditure on health","2011","2011",0.38917325400071,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB600","Certain conditions originating in the perinatal period","0","0","T","Total","PARCUR","% current expenditure on health","2003","2003",0.756369793056488,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB600","Certain conditions originating in the perinatal period","0","0","T","Total","PARCUR","% current expenditure on health","2005","2005",0.673498584230836,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB600","Certain conditions originating in the perinatal period","0","0","T","Total","PARCUR","% current expenditure on health","2007","2007",0.741407886672198,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB600","Certain conditions originating in the perinatal period","0","0","T","Total","PARCUR","% current expenditure on health","2011","2011",0.124481514270435,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB700","Congenital malformations, deformations and chromosomal abnormalities","0","0","T","Total","PARCUR","% current expenditure on health","2003","2003",0.115019737386936,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB700","Congenital malformations, deformations and chromosomal abnormalities","0","0","T","Total","PARCUR","% current expenditure on health","2005","2005",0.173415803125305,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB700","Congenital malformations, deformations and chromosomal abnormalities","0","0","T","Total","PARCUR","% current expenditure on health","2007","2007",0.0906559351061167,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB700","Congenital malformations, deformations and chromosomal abnormalities","0","0","T","Total","PARCUR","% current expenditure on health","2011","2011",0.0389472848499556,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB800","Symptoms, signs and abnormal clinical and laboratory findings, n.e.c.","0","0","T","Total","PARCUR","% current expenditure on health","2003","2003",0.0915557109600007,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB800","Symptoms, signs and abnormal clinical and laboratory findings, n.e.c.","0","0","T","Total","PARCUR","% current expenditure on health","2005","2005",0.149642767690747,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB800","Symptoms, signs and abnormal clinical and laboratory findings, n.e.c.","0","0","T","Total","PARCUR","% current expenditure on health","2007","2007",0.0760721542412197,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB800","Symptoms, signs and abnormal clinical and laboratory findings, n.e.c.","0","0","T","Total","PARCUR","% current expenditure on health","2011","2011",0.0447893775774489,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB900","Injury, poisoning and other consequences of external causes","0","0","T","Total","PARCUR","% current expenditure on health","2003","2003",0.00920157899095485,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB900","Injury, poisoning and other consequences of external causes","0","0","T","Total","PARCUR","% current expenditure on health","2005","2005",0.00955166602281362,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB900","Injury, poisoning and other consequences of external causes","0","0","T","Total","PARCUR","% current expenditure on health","2007","2007",0.0139925465055093,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDB900","Injury, poisoning and other consequences of external causes","0","0","T","Total","PARCUR","% current expenditure on health","2011","2011",0.00838864596768274,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA100","Infectious and parasitic diseases","1_4","1 to 4","T","Total","PARCUR","% current expenditure on health","2003","2003",0.110188908416684,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA100","Infectious and parasitic diseases","1_4","1 to 4","T","Total","PARCUR","% current expenditure on health","2005","2005",0.102521215311533,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA100","Infectious and parasitic diseases","1_4","1 to 4","T","Total","PARCUR","% current expenditure on health","2007","2007",0.101889387934483,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA100","Infectious and parasitic diseases","1_4","1 to 4","T","Total","PARCUR","% current expenditure on health","2011","2011",0.0533278207945546,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA200","Neoplasms","1_4","1 to 4","T","Total","PARCUR","% current expenditure on health","2003","2003",0.0257644211746736,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA200","Neoplasms","1_4","1 to 4","T","Total","PARCUR","% current expenditure on health","2005","2005",0.0449989599296997,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA200","Neoplasms","1_4","1 to 4","T","Total","PARCUR","% current expenditure on health","2007","2007",0.0191165776202029,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA200","Neoplasms","1_4","1 to 4","T","Total","PARCUR","% current expenditure on health","2011","2011",0.0140809414457532,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA300","Diseases of the blood and bloodforming organs","1_4","1 to 4","T","Total","PARCUR","% current expenditure on health","2003","2003",0.0101217368900503,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA300","Diseases of the blood and bloodforming organs","1_4","1 to 4","T","Total","PARCUR","% current expenditure on health","2005","2005",0.00806585130815373,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA300","Diseases of the blood and bloodforming organs","1_4","1 to 4","T","Total","PARCUR","% current expenditure on health","2007","2007",0.00532110923448946,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA300","Diseases of the blood and bloodforming organs","1_4","1 to 4","T","Total","PARCUR","% current expenditure on health","2011","2011",0.0179756699307487,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA400","Endocrine, nutritional and metabolic diseases","1_4","1 to 4","T","Total","PARCUR","% current expenditure on health","2003","2003",0.02139367115397,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA400","Endocrine, nutritional and metabolic diseases","1_4","1 to 4","T","Total","PARCUR","% current expenditure on health","2005","2005",0.0208014060052386,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA400","Endocrine, nutritional and metabolic diseases","1_4","1 to 4","T","Total","PARCUR","% current expenditure on health","2007","2007",0.0179341089014274,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA400","Endocrine, nutritional and metabolic diseases","1_4","1 to 4","T","Total","PARCUR","% current expenditure on health","2011","2011",0.0146801304434448,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA500","Mental and behavioural disorders","1_4","1 to 4","T","Total","PARCUR","% current expenditure on health","2003","2003",0.0694719213817091,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA500","Mental and behavioural disorders","1_4","1 to 4","T","Total","PARCUR","% current expenditure on health","2005","2005",0.0827811055310514,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA500","Mental and behavioural disorders","1_4","1 to 4","T","Total","PARCUR","% current expenditure on health","2007","2007",0.120611809315094,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA500","Mental and behavioural disorders","1_4","1 to 4","T","Total","PARCUR","% current expenditure on health","2011","2011",0.198031963737082,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA600","Diseases of the nervous system","1_4","1 to 4","T","Total","PARCUR","% current expenditure on health","2003","2003",0.214856869438796,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA600","Diseases of the nervous system","1_4","1 to 4","T","Total","PARCUR","% current expenditure on health","2005","2005",0.223296725688887,,
