"Permanent & long-term migration by age, sex and NZ area (Annual-Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Departures","","","","","","","","","","","","","","","","","","","","","","","",""
" ","Whangarei District","0-4 years",22,13,19,12,24,17,23,27,50,39,27,15,12,23,32,34,35,54,42,32,52,74,44,24,19
" "," ","5-9 years",15,23,21,17,23,19,30,21,26,39,20,21,23,25,27,20,40,45,36,30,33,34,14,23,20
" "," ","10-14 years",12,13,13,13,17,18,36,18,28,35,41,16,22,24,29,26,24,49,32,28,44,37,35,24,16
" "," ","15-19 years",47,31,37,45,46,59,59,53,48,55,64,39,40,54,55,55,59,84,52,63,81,80,66,46,46
" "," ","20-24 years",75,75,98,86,83,93,98,85,117,116,93,84,79,98,90,96,111,124,106,100,137,127,112,72,71
" "," ","25-29 years",54,42,46,47,60,55,75,71,102,78,85,78,72,87,71,60,78,85,71,81,86,83,75,52,45
" "," ","30-34 years",27,26,26,27,27,30,32,43,52,51,44,30,31,33,43,36,42,67,40,41,68,54,33,33,15
" "," ","35-39 years",11,18,16,19,24,29,34,32,35,38,26,15,23,28,29,27,30,46,40,34,33,42,22,17,14
" "," ","40-44 years",20,18,16,15,20,11,21,26,35,35,32,24,13,23,34,27,31,49,33,23,45,32,16,18,17
" "," ","45-49 years",5,12,4,15,12,22,18,19,22,32,17,15,13,19,22,24,26,40,33,32,22,37,26,21,12
" "," ","50-54 years",4,2,11,14,15,9,13,12,11,21,17,16,15,15,22,15,21,36,24,28,28,33,32,24,15
" "," ","55-59 years",6,6,3,4,7,10,10,12,10,15,8,13,8,16,14,19,20,18,9,24,12,20,15,12,8
" "," ","60-64 years",1,8,4,5,7,8,7,5,10,15,13,9,8,8,12,2,11,9,7,9,7,10,18,11,8
" "," ","65-69 years",3,3,2,7,10,9,8,5,5,5,4,1,2,3,3,5,4,3,2,2,3,3,8,5,5
" "," ","70-74 years",1,3,3,3,6,4,4,4,9,6,1,1,1,1,2,2,2,3,6,5,2,2,3,2,4
" "," ","75 years and over",4,3,5,8,4,9,11,2,2,2,1,2,1,1,6,2,4,3,1,2,4,0,5,5,3
" ","Kaipara District","0-4 years",7,3,2,5,3,4,4,3,4,6,3,1,5,2,7,5,8,6,4,2,11,9,6,2,5
" "," ","5-9 years",1,2,0,2,4,2,0,4,4,0,3,2,2,5,8,3,5,9,2,3,8,14,3,4,6
" "," ","10-14 years",2,8,0,4,5,4,3,4,1,4,5,0,2,4,3,3,6,7,3,1,2,5,3,1,4
" "," ","15-19 years",12,8,8,8,3,14,6,7,11,6,1,7,14,17,16,14,15,13,11,10,14,10,21,10,7
" "," ","20-24 years",19,31,21,20,14,19,34,23,19,16,15,15,8,15,22,19,15,17,18,27,31,32,15,16,16
" "," ","25-29 years",7,10,4,6,13,9,3,10,12,10,16,15,17,7,18,13,12,8,9,13,12,20,10,13,16
" "," ","30-34 years",3,7,4,3,4,6,6,3,9,5,1,2,8,8,7,9,11,9,6,5,7,12,7,3,2
" "," ","35-39 years",5,2,4,1,4,3,3,6,3,1,4,2,1,3,7,5,6,6,4,4,4,9,4,2,2
" "," ","40-44 years",4,3,1,1,2,1,4,4,3,2,4,0,0,5,2,6,5,5,3,6,3,12,4,4,3
" "," ","45-49 years",0,1,1,2,2,1,1,1,3,1,4,1,3,5,4,0,3,9,1,5,2,7,6,4,4
" "," ","50-54 years",0,0,0,0,1,5,1,0,4,1,2,2,1,0,2,0,4,3,2,4,5,4,6,1,3
" "," ","55-59 years",0,0,0,0,0,0,1,3,3,1,0,0,3,3,0,2,1,1,4,1,8,7,3,2,1
" "," ","60-64 years",0,0,1,0,0,0,1,1,2,0,0,1,2,2,1,1,4,1,1,0,1,0,4,3,1
" "," ","65-69 years",0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,2,0,1,0,0,1,0,1,1
" "," ","70-74 years",0,0,1,0,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,0,1,1
" "," ","75 years and over",0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
" ","Rodney District (to 10.2010)","0-4 years",23,21,18,17,21,32,20,26,22,33,23,23,22,33,36,29,31,56,40,37,0,0,0,0,0
" "," ","5-9 years",17,20,9,12,8,19,21,31,22,26,23,26,26,19,36,53,29,40,23,28,0,0,0,0,0
" "," ","10-14 years",16,15,9,12,13,17,18,32,27,18,21,6,26,21,41,38,28,34,33,24,0,0,0,0,0
" "," ","15-19 years",29,33,32,29,42,34,36,29,45,45,34,42,32,40,50,52,47,54,47,31,0,0,0,0,0
" "," ","20-24 years",70,58,76,65,73,81,87,92,79,88,75,74,88,86,90,104,117,116,103,102,0,0,0,0,0
" "," ","25-29 years",61,46,41,33,40,54,53,68,80,85,87,67,74,72,81,91,79,77,78,77,0,0,0,0,0
" "," ","30-34 years",16,29,19,26,31,35,31,46,37,54,69,32,33,32,46,61,47,52,43,42,0,0,0,0,0
" "," ","35-39 years",12,17,19,15,18,38,25,26,32,30,46,26,29,34,44,49,41,65,47,41,0,0,0,0,0
" "," ","40-44 years",14,11,13,11,21,17,18,23,28,31,23,23,20,26,40,44,35,46,33,36,0,0,0,0,0
" "," ","45-49 years",7,11,14,18,16,16,21,15,22,18,16,14,16,17,24,25,33,34,23,26,0,0,0,0,0
" "," ","50-54 years",11,6,13,6,9,12,11,16,24,20,22,6,14,21,23,31,40,31,27,29,0,0,0,0,0
" "," ","55-59 years",5,4,4,9,7,15,13,20,24,11,11,11,9,20,24,16,29,20,20,15,0,0,0,0,0
" "," ","60-64 years",3,6,8,15,6,9,13,12,9,10,5,9,10,13,11,8,14,10,6,9,0,0,0,0,0
" "," ","65-69 years",2,6,6,10,5,19,12,8,9,3,3,7,4,4,9,6,13,3,7,8,0,0,0,0,0
" "," ","70-74 years",5,4,11,1,7,6,4,5,6,10,7,3,7,3,5,1,2,4,3,2,0,0,0,0,0
" "," ","75 years and over",2,4,7,10,9,20,7,4,9,4,5,3,7,2,6,5,9,4,6,3,0,0,0,0,0
" ","North Shore City (to 10.2010)","0-4 years",86,76,62,65,86,99,96,115,105,119,128,73,67,92,143,123,154,143,117,120,0,0,0,0,0
" "," ","5-9 years",75,63,63,51,60,78,90,94,97,124,134,62,68,93,131,118,108,121,95,90,0,0,0,0,0
" "," ","10-14 years",49,57,58,32,64,62,73,82,90,108,103,65,70,135,125,98,119,141,114,79,0,0,0,0,0
" "," ","15-19 years",110,126,116,148,128,152,166,143,133,144,144,114,103,172,189,142,147,191,140,116,0,0,0,0,0
" "," ","20-24 years",409,349,380,346,339,433,433,366,353,451,367,314,257,362,468,397,443,431,331,336,0,0,0,0,0
" "," ","25-29 years",232,226,179,221,236,236,341,326,346,364,376,264,206,289,346,354,401,393,346,358,0,0,0,0,0
" "," ","30-34 years",111,144,133,120,132,144,163,192,196,242,248,139,157,164,197,192,240,225,171,153,0,0,0,0,0
" "," ","35-39 years",95,95,88,73,92,104,162,151,155,184,182,92,106,156,185,169,222,217,164,131,0,0,0,0,0
" "," ","40-44 years",87,89,74,57,66,83,97,103,120,124,129,86,87,145,145,156,169,197,138,111,0,0,0,0,0
" "," ","45-49 years",49,60,59,54,65,57,78,108,105,101,92,67,61,88,95,82,103,131,113,98,0,0,0,0,0
" "," ","50-54 years",38,35,45,41,46,51,48,60,78,59,81,62,48,57,87,67,100,101,75,66,0,0,0,0,0
" "," ","55-59 years",26,24,24,27,35,40,41,38,41,44,52,42,35,57,64,48,74,67,70,53,0,0,0,0,0
" "," ","60-64 years",18,9,20,20,20,26,28,20,22,38,35,30,24,26,27,24,27,36,34,30,0,0,0,0,0
" "," ","65-69 years",21,15,24,24,21,28,18,16,18,22,16,19,19,22,24,26,21,27,19,24,0,0,0,0,0
" "," ","70-74 years",10,13,18,12,9,23,17,16,17,14,14,14,8,8,12,16,20,10,13,16,0,0,0,0,0
" "," ","75 years and over",20,11,9,18,21,23,23,14,19,17,18,8,15,13,21,19,18,16,7,12,0,0,0,0,0
" ","Waitakere City (to 10.2010)","0-4 years",84,83,73,68,89,103,99,92,101,87,91,76,62,83,136,100,121,150,121,110,0,0,0,0,0
" "," ","5-9 years",56,51,45,51,60,75,94,100,92,99,81,56,61,68,90,100,102,107,92,88,0,0,0,0,0
" "," ","10-14 years",35,54,42,52,43,50,74,67,64,75,66,44,57,83,105,79,115,107,98,62,0,0,0,0,0
" "," ","15-19 years",97,88,85,70,68,114,95,116,93,100,91,68,77,95,123,108,120,130,98,97,0,0,0,0,0
" "," ","20-24 years",198,194,193,208,207,227,207,241,234,240,231,165,118,214,252,202,212,241,231,185,0,0,0,0,0
" "," ","25-29 years",143,140,131,134,154,174,188,226,222,218,193,172,130,175,227,240,239,266,212,202,0,0,0,0,0
" "," ","30-34 years",86,103,82,84,100,119,117,131,128,177,151,100,87,127,155,131,188,166,123,123,0,0,0,0,0
" "," ","35-39 years",61,60,45,59,65,83,110,112,83,116,109,74,71,98,120,120,120,139,102,93,0,0,0,0,0
" "," ","40-44 years",38,46,41,51,63,51,76,68,75,82,86,39,51,67,83,67,107,104,84,76,0,0,0,0,0
" "," ","45-49 years",31,29,28,42,37,46,56,45,58,57,53,34,34,45,62,63,81,96,86,50,0,0,0,0,0
" "," ","50-54 years",16,20,21,29,32,38,46,48,39,39,55,37,28,49,54,47,55,64,45,57,0,0,0,0,0
" "," ","55-59 years",14,15,12,19,26,40,35,27,26,32,25,26,27,34,46,33,38,41,41,32,0,0,0,0,0
" "," ","60-64 years",21,14,10,26,18,25,27,17,30,26,23,23,16,18,18,15,22,23,28,21,0,0,0,0,0
" "," ","65-69 years",14,27,9,10,15,27,31,13,17,15,20,19,11,12,23,17,19,22,18,19,0,0,0,0,0
" "," ","70-74 years",7,13,9,12,13,18,19,13,18,4,13,12,5,9,10,7,11,14,11,12,0,0,0,0,0
" "," ","75 years and over",10,6,7,14,20,21,15,10,14,10,7,10,14,10,9,9,7,8,19,8,0,0,0,0,0
" ","Auckland City (to 10.2010)","0-4 years",216,218,219,203,244,264,281,329,332,371,323,274,323,291,305,277,325,359,250,239,0,0,0,0,0
" "," ","5-9 years",128,134,145,106,176,208,241,254,280,323,307,209,266,230,221,198,270,259,203,174,0,0,0,0,0
" "," ","10-14 years",102,147,107,98,125,186,169,197,275,252,293,228,336,263,209,177,216,240,181,127,0,0,0,0,0
" "," ","15-19 years",204,238,233,238,264,311,300,344,397,387,368,359,445,387,279,275,282,309,287,250,0,0,0,0,0
" "," ","20-24 years",744,637,647,683,758,793,939,972,874,989,896,940,1159,1014,890,803,904,871,753,711,0,0,0,0,0
" "," ","25-29 years",641,628,531,560,707,791,1058,1077,1130,1277,972,927,984,877,910,830,976,1032,933,904,0,0,0,0,0
" "," ","30-34 years",367,382,352,341,401,511,559,668,657,798,742,578,600,552,549,474,585,624,510,488,0,0,0,0,0
" "," ","35-39 years",219,198,241,181,262,319,362,427,472,529,535,345,417,359,378,374,408,413,354,331,0,0,0,0,0
" "," ","40-44 years",162,170,146,145,202,200,226,264,296,361,379,252,281,264,270,275,256,313,229,239,0,0,0,0,0
" "," ","45-49 years",105,130,107,111,126,149,178,193,236,250,250,180,222,197,186,170,215,249,182,170,0,0,0,0,0
" "," ","50-54 years",78,62,91,79,99,82,153,152,155,170,214,165,174,152,157,135,142,192,155,113,0,0,0,0,0
" "," ","55-59 years",64,62,59,53,73,85,92,96,127,113,123,136,121,122,106,103,110,147,120,103,0,0,0,0,0
" "," ","60-64 years",58,38,50,49,50,65,71,63,82,73,74,75,77,70,74,58,72,99,66,58,0,0,0,0,0
" "," ","65-69 years",32,45,40,55,43,54,49,43,57,59,61,58,59,47,43,30,60,39,32,34,0,0,0,0,0
" "," ","70-74 years",27,22,25,28,36,24,40,36,30,36,37,30,32,44,24,26,25,27,22,31,0,0,0,0,0
" "," ","75 years and over",46,22,39,45,61,57,44,49,43,30,49,23,39,24,28,28,28,34,28,23,0,0,0,0,0
" ","Manukau City (to 10.2010)","0-4 years",159,158,137,184,198,203,215,196,226,247,208,151,142,204,256,260,301,306,309,238,0,0,0,0,0
" "," ","5-9 years",107,137,108,122,157,150,204,207,243,219,216,129,143,157,209,218,251,250,280,197,0,0,0,0,0
" "," ","10-14 years",86,96,104,118,118,133,144,153,214,149,175,120,146,206,248,186,236,270,254,166,0,0,0,0,0
" "," ","15-19 years",196,174,159,173,190,183,212,233,223,216,237,153,149,200,251,211,251,313,253,212,0,0,0,0,0
" "," ","20-24 years",478,439,376,377,397,394,426,407,402,442,404,310,276,343,415,397,407,426,426,347,0,0,0,0,0
" "," ","25-29 years",268,252,225,279,262,274,351,348,422,427,388,292,231,335,386,375,422,463,386,373,0,0,0,0,0
" "," ","30-34 years",158,149,159,161,169,170,244,248,249,262,264,178,184,214,275,247,278,305,247,243,0,0,0,0,0
" "," ","35-39 years",106,104,87,115,148,151,180,190,204,228,238,146,130,157,192,244,244,284,230,187,0,0,0,0,0
" "," ","40-44 years",87,87,79,70,93,86,127,151,164,145,162,109,91,120,171,160,172,214,194,134,0,0,0,0,0
" "," ","45-49 years",66,69,68,74,73,84,92,115,119,110,118,68,66,86,125,112,149,158,157,128,0,0,0,0,0
" "," ","50-54 years",64,47,51,56,51,67,78,79,94,91,84,72,45,68,87,98,106,109,107,81,0,0,0,0,0
" "," ","55-59 years",34,40,39,53,38,52,70,63,47,80,69,53,52,50,62,71,87,74,78,70,0,0,0,0,0
" "," ","60-64 years",34,31,25,39,41,42,47,52,37,42,42,51,33,33,52,39,34,64,46,49,0,0,0,0,0
" "," ","65-69 years",32,34,36,39,32,36,45,29,42,39,25,30,30,30,47,41,41,41,35,39,0,0,0,0,0
" "," ","70-74 years",20,19,18,25,28,29,29,22,27,24,23,18,24,22,39,18,31,29,17,22,0,0,0,0,0
" "," ","75 years and over",22,32,24,32,26,47,22,30,28,25,25,22,13,26,38,34,16,24,39,27,0,0,0,0,0
" ","Papakura District (to 10.2010)","0-4 years",20,15,23,11,15,28,33,27,14,17,28,15,18,33,38,33,40,34,17,17,0,0,0,0,0
" "," ","5-9 years",10,10,14,10,9,18,24,16,34,21,16,16,13,20,31,20,19,31,23,18,0,0,0,0,0
" "," ","10-14 years",13,8,14,13,11,12,16,16,15,9,16,12,15,28,24,20,31,26,20,15,0,0,0,0,0
" "," ","15-19 years",33,17,14,24,27,19,30,24,33,35,22,18,23,28,30,38,36,40,42,25,0,0,0,0,0
" "," ","20-24 years",72,69,65,71,74,63,75,71,72,69,70,36,47,48,68,53,65,78,44,50,0,0,0,0,0
" "," ","25-29 years",36,32,36,23,43,50,56,55,63,65,64,39,59,54,47,53,58,75,60,37,0,0,0,0,0
" "," ","30-34 years",23,17,15,23,26,24,39,26,35,31,47,37,23,27,31,36,36,47,33,21,0,0,0,0,0
" "," ","35-39 years",12,18,15,10,12,24,27,23,28,21,20,10,18,38,19,25,31,39,28,24,0,0,0,0,0
" "," ","40-44 years",12,14,10,10,9,7,13,12,23,17,13,13,15,17,27,25,23,20,25,14,0,0,0,0,0
" "," ","45-49 years",10,8,2,11,6,16,13,12,17,13,11,10,9,8,12,15,19,22,8,12,0,0,0,0,0
" "," ","50-54 years",5,3,4,9,6,9,8,8,10,16,5,11,7,10,17,16,18,16,17,12,0,0,0,0,0
" "," ","55-59 years",1,5,3,2,6,7,4,3,10,5,4,3,9,6,15,6,12,17,9,7,0,0,0,0,0
" "," ","60-64 years",1,3,5,1,8,5,5,4,3,3,5,1,4,1,11,2,5,6,5,6,0,0,0,0,0
" "," ","65-69 years",4,0,2,2,2,6,1,4,3,5,1,1,1,1,3,2,6,1,2,3,0,0,0,0,0
" "," ","70-74 years",0,2,2,5,5,0,1,0,1,0,1,2,0,2,1,1,4,6,1,1,0,0,0,0,0
" "," ","75 years and over",4,1,3,0,5,4,5,2,2,1,0,3,3,3,3,1,2,4,1,1,0,0,0,0,0
" ","Franklin District (to 10.2010)","0-4 years",19,5,15,22,20,18,9,18,11,13,10,8,14,29,22,18,28,25,20,22,0,0,0,0,0
" "," ","5-9 years",12,7,12,13,10,14,15,16,16,18,10,9,10,20,19,18,21,28,21,19,0,0,0,0,0
" "," ","10-14 years",11,3,6,7,13,17,7,12,15,17,9,14,8,11,18,15,27,29,15,21,0,0,0,0,0
" "," ","15-19 years",26,21,21,20,33,35,20,18,31,23,18,29,20,15,34,28,31,45,38,24,0,0,0,0,0
" "," ","20-24 years",51,47,50,54,54,65,57,70,63,84,60,59,54,71,74,75,74,74,57,75,0,0,0,0,0
" "," ","25-29 years",36,25,30,24,41,32,42,64,59,60,66,45,51,65,57,62,63,62,44,45,0,0,0,0,0
" "," ","30-34 years",8,17,12,18,22,17,20,27,16,31,29,21,23,26,35,33,38,37,25,24,0,0,0,0,0
" "," ","35-39 years",12,4,11,14,16,23,18,16,20,21,15,17,11,23,20,17,28,39,18,21,0,0,0,0,0
" "," ","40-44 years",11,5,9,13,9,8,13,8,15,13,12,12,5,12,18,18,22,33,22,14,0,0,0,0,0
" "," ","45-49 years",4,1,2,4,10,6,11,11,8,8,7,13,10,12,9,10,9,18,15,20,0,0,0,0,0
" "," ","50-54 years",2,4,4,4,3,11,12,7,10,8,11,11,12,9,11,12,19,15,15,7,0,0,0,0,0
" "," ","55-59 years",2,1,2,1,3,2,6,5,4,5,2,5,3,8,13,13,7,9,11,9,0,0,0,0,0
" "," ","60-64 years",3,3,0,4,1,4,7,4,3,3,4,2,4,3,5,6,4,3,1,5,0,0,0,0,0
" "," ","65-69 years",1,1,0,2,1,3,2,2,2,3,2,1,3,4,4,4,5,3,1,3,0,0,0,0,0
" "," ","70-74 years",1,0,2,2,3,2,7,0,2,2,0,5,2,2,2,2,2,1,4,0,0,0,0,0,0
" "," ","75 years and over",2,0,1,0,2,1,3,3,6,1,1,3,2,2,3,3,0,1,4,1,0,0,0,0,0
" ","Thames-Coromandel District","0-4 years",5,3,6,8,2,7,10,10,11,4,7,6,8,7,1,7,8,18,6,13,16,16,9,8,3
" "," ","5-9 years",6,6,10,5,3,11,10,14,11,7,7,5,10,9,9,12,7,15,4,6,14,10,10,12,2
" "," ","10-14 years",6,2,7,4,5,6,4,7,13,6,7,6,12,5,8,5,6,7,8,6,11,10,4,4,2
" "," ","15-19 years",13,12,13,14,10,10,20,21,13,18,19,12,15,15,14,15,18,20,14,23,20,19,12,17,11
" "," ","20-24 years",29,44,27,22,27,30,27,35,35,46,28,25,26,38,32,39,39,47,25,38,40,42,39,30,19
" "," ","25-29 years",17,9,18,18,24,28,22,20,32,32,35,30,27,20,27,24,20,31,25,27,36,38,27,19,28
" "," ","30-34 years",9,8,12,7,11,15,18,18,13,9,18,12,21,14,17,20,12,13,13,11,14,14,12,9,8
" "," ","35-39 years",8,4,8,5,4,8,9,13,16,10,13,8,14,7,13,9,8,13,13,11,14,12,13,12,7
" "," ","40-44 years",3,6,3,4,4,7,11,10,6,10,8,7,13,13,9,8,12,9,8,8,11,11,5,7,7
" "," ","45-49 years",3,4,5,10,7,2,6,13,11,5,11,3,4,10,5,5,4,5,14,7,7,9,6,7,1
" "," ","50-54 years",1,4,4,1,9,6,1,11,9,8,5,4,5,13,11,6,8,13,7,7,8,6,7,11,8
" "," ","55-59 years",4,2,4,3,2,2,6,5,2,4,2,3,6,5,6,4,7,14,2,10,9,5,10,7,7
" "," ","60-64 years",2,2,2,1,2,3,3,5,4,4,1,4,3,3,4,0,2,3,6,6,6,3,1,2,3
" "," ","65-69 years",1,0,2,1,2,3,5,2,2,1,2,3,3,1,0,3,1,0,0,1,2,2,4,2,1
" "," ","70-74 years",2,0,0,3,2,2,0,3,0,2,1,1,2,3,1,1,1,0,7,1,2,0,0,0,4
" "," ","75 years and over",2,0,1,2,1,2,1,2,7,4,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1
" ","Hauraki District","0-4 years",4,7,2,5,5,3,4,6,7,3,3,2,5,4,3,7,5,11,4,6,11,7,4,3,1
" "," ","5-9 years",4,0,6,10,5,2,7,7,6,6,1,6,3,5,5,11,7,8,7,3,6,4,4,4,4
" "," ","10-14 years",3,7,3,7,5,6,1,4,3,3,5,4,6,3,5,1,7,12,8,0,6,4,5,9,3
" "," ","15-19 years",8,12,12,14,17,8,15,11,11,10,6,4,7,10,6,8,20,16,12,9,10,14,11,19,9
" "," ","20-24 years",18,17,14,18,23,20,28,13,20,19,21,10,13,16,19,21,20,21,22,13,25,18,20,20,14
" "," ","25-29 years",8,8,10,9,16,12,16,6,17,15,12,10,10,12,12,15,20,25,14,22,16,11,10,7,12
" "," ","30-34 years",4,6,3,9,9,5,4,7,7,4,9,8,5,4,10,7,12,7,8,8,13,8,8,2,2
" "," ","35-39 years",4,6,5,7,9,6,5,3,8,5,10,2,5,3,4,2,6,14,2,2,8,8,3,5,1
" "," ","40-44 years",3,3,4,3,7,3,3,5,5,2,8,4,5,8,5,4,5,4,8,6,5,3,5,2,3
" "," ","45-49 years",2,1,5,3,2,8,3,2,3,2,1,4,1,5,3,8,7,8,8,4,7,3,10,5,4
" "," ","50-54 years",2,2,1,0,0,2,4,1,7,3,1,1,4,5,2,5,3,1,2,8,2,5,7,3,2
" "," ","55-59 years",0,0,0,2,1,2,1,1,2,4,0,0,2,3,4,1,2,3,2,5,6,3,2,0,3
" "," ","60-64 years",0,0,0,1,0,3,1,1,1,0,3,1,1,0,0,1,1,2,0,2,0,1,0,0,1
" "," ","65-69 years",1,1,1,1,0,0,1,0,0,0,0,2,0,0,1,1,1,1,1,1,1,0,2,2,1
" "," ","70-74 years",0,0,2,2,1,1,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0
" "," ","75 years and over",2,0,0,4,0,1,3,2,1,0,1,1,0,1,0,0,2,1,1,2,1,0,2,0,2
" ","Waikato District","0-4 years",10,9,6,8,10,12,11,15,18,12,20,13,19,11,22,14,19,17,27,24,26,40,37,21,15
" "," ","5-9 years",7,3,7,4,11,7,19,11,10,6,19,9,8,21,21,19,17,21,15,16,36,30,37,10,5
" "," ","10-14 years",1,6,3,3,10,7,10,15,10,13,13,11,12,8,15,13,21,13,11,18,14,25,35,16,12
" "," ","15-19 years",22,14,18,27,23,17,28,21,18,26,36,19,14,17,28,32,28,32,22,33,47,49,53,33,33
" "," ","20-24 years",29,28,34,44,45,33,30,38,34,42,47,27,35,42,40,39,45,40,35,57,86,96,102,70,59
" "," ","25-29 years",15,13,19,8,23,24,33,31,30,38,38,20,24,25,26,36,30,27,31,43,62,66,60,50,46
" "," ","30-34 years",7,5,8,12,8,6,17,12,17,16,19,19,16,26,24,22,18,32,28,34,46,35,30,24,26
" "," ","35-39 years",3,5,6,3,7,7,10,6,8,10,11,7,7,12,22,14,15,19,10,15,27,16,18,13,22
" "," ","40-44 years",1,6,4,1,5,5,10,7,7,7,7,13,7,13,6,7,12,12,8,13,24,19,24,21,11
" "," ","45-49 years",1,1,3,8,1,2,3,4,4,4,3,2,6,5,7,14,11,12,8,10,23,19,10,11,5
" "," ","50-54 years",3,3,3,3,0,2,3,1,7,2,5,1,6,9,13,7,8,9,4,7,18,14,15,11,19
" "," ","55-59 years",0,1,1,0,0,4,1,1,2,0,3,5,2,2,2,8,6,4,3,15,5,11,19,6,8
" "," ","60-64 years",3,0,3,1,1,5,1,2,1,1,0,2,2,2,2,2,3,3,2,5,2,6,5,1,5
" "," ","65-69 years",0,0,1,1,2,3,3,4,1,1,0,1,2,1,0,0,1,0,0,2,2,5,4,3,4
" "," ","70-74 years",0,0,1,2,1,0,0,1,3,1,2,0,1,0,0,0,2,1,0,1,1,4,2,0,2
" "," ","75 years and over",0,1,1,2,0,3,1,1,1,1,1,0,2,1,1,0,1,1,2,2,2,6,3,3,4
" ","Matamata-Piako District","0-4 years",7,8,7,5,7,7,7,12,11,10,10,9,9,6,12,14,15,10,16,10,14,14,16,7,4
" "," ","5-9 years",4,4,4,11,4,14,12,11,11,11,8,4,8,8,13,13,14,9,4,7,20,10,11,7,5
" "," ","10-14 years",3,2,5,4,4,6,3,8,8,11,4,4,6,10,10,10,17,8,2,12,8,4,10,2,3
" "," ","15-19 years",20,22,26,15,26,17,16,12,10,20,15,15,19,12,19,25,15,22,24,8,28,13,23,11,14
" "," ","20-24 years",43,35,38,54,39,58,29,46,67,51,46,43,28,42,42,47,32,38,32,38,60,49,33,33,25
" "," ","25-29 years",19,14,21,19,28,19,27,34,30,36,23,37,34,28,35,18,31,31,29,24,32,29,35,21,27
" "," ","30-34 years",6,8,10,14,6,9,13,10,12,11,11,12,11,15,17,8,17,13,6,12,13,18,8,8,7
" "," ","35-39 years",9,5,5,7,6,9,9,15,10,7,11,11,6,11,15,13,8,14,9,10,19,6,10,6,5
" "," ","40-44 years",2,2,4,5,8,4,4,4,7,7,8,11,10,8,6,9,11,16,9,7,6,12,13,6,3
" "," ","45-49 years",0,4,3,4,5,4,3,6,4,11,8,3,3,8,6,4,6,7,6,5,12,9,2,10,3
" "," ","50-54 years",2,0,2,3,4,5,4,1,2,3,3,3,2,3,4,4,9,6,6,3,4,1,8,4,4
" "," ","55-59 years",0,2,1,2,2,2,0,2,3,4,2,3,3,3,6,2,3,3,1,4,8,4,1,4,2
" "," ","60-64 years",2,0,2,1,1,0,1,0,1,2,3,1,2,3,1,1,1,1,1,6,1,2,1,2,1
" "," ","65-69 years",1,0,0,0,1,0,1,2,2,0,0,1,2,4,0,2,3,1,1,0,3,2,1,1,1
