Area,Age,Sex,Year at 30 June,Value,Flags
"Auckland region","20-24 Years","Male","2009",52300,
"Auckland region","20-24 Years","Male","2010",53530,
"Auckland region","20-24 Years","Male","2011",55680,
"Auckland region","20-24 Years","Male","2012",57290,
"Auckland region","20-24 Years","Male","2013",59380,
"Auckland region","20-24 Years","Male","2014",62660,
"Auckland region","20-24 Years","Female","2006",54520,
"Auckland region","20-24 Years","Female","2007",53820,
"Auckland region","20-24 Years","Female","2008",53110,
"Auckland region","20-24 Years","Female","2009",52940,
"Auckland region","20-24 Years","Female","2010",53770,
"Auckland region","20-24 Years","Female","2011",55440,
"Auckland region","20-24 Years","Female","2012",56730,
"Auckland region","20-24 Years","Female","2013",58360,
"Auckland region","20-24 Years","Female","2014",60900,
"Waikato region","20-24 Years","Male","2006",13580,
"Waikato region","20-24 Years","Male","2007",13540,
"Waikato region","20-24 Years","Male","2008",13660,
"Waikato region","20-24 Years","Male","2009",13970,
"Waikato region","20-24 Years","Male","2010",14260,
"Waikato region","20-24 Years","Male","2011",14520,
"Waikato region","20-24 Years","Male","2012",14730,
"Waikato region","20-24 Years","Male","2013",14750,
"Waikato region","20-24 Years","Male","2014",15410,
"Waikato region","20-24 Years","Female","2006",13020,
"Waikato region","20-24 Years","Female","2007",13100,
"Waikato region","20-24 Years","Female","2008",13230,
"Waikato region","20-24 Years","Female","2009",13530,
"Waikato region","20-24 Years","Female","2010",14130,
"Waikato region","20-24 Years","Female","2011",14540,
"Waikato region","20-24 Years","Female","2012",14670,
"Waikato region","20-24 Years","Female","2013",14550,
"Waikato region","20-24 Years","Female","2014",14650,
"Bay of Plenty region","20-24 Years","Male","2006",6690,
"Bay of Plenty region","20-24 Years","Male","2007",6710,
"Bay of Plenty region","20-24 Years","Male","2008",6820,
"Bay of Plenty region","20-24 Years","Male","2009",7140,
"Bay of Plenty region","20-24 Years","Male","2010",7420,
"Bay of Plenty region","20-24 Years","Male","2011",7710,
"Bay of Plenty region","20-24 Years","Male","2012",7780,
"Bay of Plenty region","20-24 Years","Male","2013",7770,
"Bay of Plenty region","20-24 Years","Male","2014",8050,
"Bay of Plenty region","20-24 Years","Female","2006",6660,
"Bay of Plenty region","20-24 Years","Female","2007",6730,
"Bay of Plenty region","20-24 Years","Female","2008",6880,
"Bay of Plenty region","20-24 Years","Female","2009",7140,
"Bay of Plenty region","20-24 Years","Female","2010",7490,
"Bay of Plenty region","20-24 Years","Female","2011",7740,
"Bay of Plenty region","20-24 Years","Female","2012",7740,
"Bay of Plenty region","20-24 Years","Female","2013",7650,
"Bay of Plenty region","20-24 Years","Female","2014",7730,
"Gisborne region","20-24 Years","Male","2006",1200,
"Gisborne region","20-24 Years","Male","2007",1220,
"Gisborne region","20-24 Years","Male","2008",1240,
"Gisborne region","20-24 Years","Male","2009",1310,
"Gisborne region","20-24 Years","Male","2010",1370,
"Gisborne region","20-24 Years","Male","2011",1410,
"Gisborne region","20-24 Years","Male","2012",1420,
"Gisborne region","20-24 Years","Male","2013",1450,
"Gisborne region","20-24 Years","Male","2014",1470,
"Gisborne region","20-24 Years","Female","2006",1290,
"Gisborne region","20-24 Years","Female","2007",1310,
"Gisborne region","20-24 Years","Female","2008",1340,
"Gisborne region","20-24 Years","Female","2009",1370,
"Gisborne region","20-24 Years","Female","2010",1450,
"Gisborne region","20-24 Years","Female","2011",1500,
"Gisborne region","20-24 Years","Female","2012",1460,
"Gisborne region","20-24 Years","Female","2013",1450,
"Gisborne region","20-24 Years","Female","2014",1420,
"Hawke's Bay region","20-24 Years","Male","2006",4020,
"Hawke's Bay region","20-24 Years","Male","2007",3980,
"Hawke's Bay region","20-24 Years","Male","2008",4000,
"Hawke's Bay region","20-24 Years","Male","2009",4110,
"Hawke's Bay region","20-24 Years","Male","2010",4250,
"Hawke's Bay region","20-24 Years","Male","2011",4300,
"Hawke's Bay region","20-24 Years","Male","2012",4240,
"Hawke's Bay region","20-24 Years","Male","2013",4240,
"Hawke's Bay region","20-24 Years","Male","2014",4380,
"Hawke's Bay region","20-24 Years","Female","2006",3780,
"Hawke's Bay region","20-24 Years","Female","2007",3780,
"Hawke's Bay region","20-24 Years","Female","2008",3850,
"Hawke's Bay region","20-24 Years","Female","2009",4030,
"Hawke's Bay region","20-24 Years","Female","2010",4240,
"Hawke's Bay region","20-24 Years","Female","2011",4440,
"Hawke's Bay region","20-24 Years","Female","2012",4460,
"Hawke's Bay region","20-24 Years","Female","2013",4380,
"Hawke's Bay region","20-24 Years","Female","2014",4330,
"Taranaki region","20-24 Years","Male","2006",2960,
"Taranaki region","20-24 Years","Male","2007",2970,
"Taranaki region","20-24 Years","Male","2008",3080,
"Taranaki region","20-24 Years","Male","2009",3190,
"Taranaki region","20-24 Years","Male","2010",3320,
"Taranaki region","20-24 Years","Male","2011",3430,
"Taranaki region","20-24 Years","Male","2012",3420,
"Taranaki region","20-24 Years","Male","2013",3370,
"Taranaki region","20-24 Years","Male","2014",3530,
"Taranaki region","20-24 Years","Female","2006",2740,
"Taranaki region","20-24 Years","Female","2007",2760,
"Taranaki region","20-24 Years","Female","2008",2880,
"Taranaki region","20-24 Years","Female","2009",3020,
"Taranaki region","20-24 Years","Female","2010",3200,
"Taranaki region","20-24 Years","Female","2011",3290,
"Taranaki region","20-24 Years","Female","2012",3280,
"Taranaki region","20-24 Years","Female","2013",3100,
"Taranaki region","20-24 Years","Female","2014",3090,
"Manawatu-Wanganui region","20-24 Years","Male","2006",7960,
"Manawatu-Wanganui region","20-24 Years","Male","2007",7900,
"Manawatu-Wanganui region","20-24 Years","Male","2008",7840,
"Manawatu-Wanganui region","20-24 Years","Male","2009",7870,
"Manawatu-Wanganui region","20-24 Years","Male","2010",8100,
"Manawatu-Wanganui region","20-24 Years","Male","2011",8210,
"Manawatu-Wanganui region","20-24 Years","Male","2012",8220,
"Manawatu-Wanganui region","20-24 Years","Male","2013",8220,
"Manawatu-Wanganui region","20-24 Years","Male","2014",8290,
"Manawatu-Wanganui region","20-24 Years","Female","2006",7720,
"Manawatu-Wanganui region","20-24 Years","Female","2007",7660,
"Manawatu-Wanganui region","20-24 Years","Female","2008",7670,
"Manawatu-Wanganui region","20-24 Years","Female","2009",7830,
"Manawatu-Wanganui region","20-24 Years","Female","2010",8010,
"Manawatu-Wanganui region","20-24 Years","Female","2011",8160,
"Manawatu-Wanganui region","20-24 Years","Female","2012",8200,
"Manawatu-Wanganui region","20-24 Years","Female","2013",8160,
"Manawatu-Wanganui region","20-24 Years","Female","2014",8060,
"Wellington region","20-24 Years","Male","2006",16970,
"Wellington region","20-24 Years","Male","2007",16720,
"Wellington region","20-24 Years","Male","2008",16630,
"Wellington region","20-24 Years","Male","2009",16750,
"Wellington region","20-24 Years","Male","2010",17180,
"Wellington region","20-24 Years","Male","2011",17600,
"Wellington region","20-24 Years","Male","2012",17770,
"Wellington region","20-24 Years","Male","2013",18020,
"Wellington region","20-24 Years","Male","2014",19090,
"Wellington region","20-24 Years","Female","2006",18070,
"Wellington region","20-24 Years","Female","2007",17910,
"Wellington region","20-24 Years","Female","2008",17770,
"Wellington region","20-24 Years","Female","2009",17890,
"Wellington region","20-24 Years","Female","2010",18200,
"Wellington region","20-24 Years","Female","2011",18620,
"Wellington region","20-24 Years","Female","2012",18830,
"Wellington region","20-24 Years","Female","2013",19160,
"Wellington region","20-24 Years","Female","2014",19810,
"Tasman region","20-24 Years","Male","2006",990,
"Tasman region","20-24 Years","Male","2007",970,
"Tasman region","20-24 Years","Male","2008",990,
"Tasman region","20-24 Years","Male","2009",990,
"Tasman region","20-24 Years","Male","2010",1010,
"Tasman region","20-24 Years","Male","2011",1050,
"Tasman region","20-24 Years","Male","2012",1030,
"Tasman region","20-24 Years","Male","2013",1050,
"Tasman region","20-24 Years","Male","2014",1070,
"Tasman region","20-24 Years","Female","2006",860,
"Tasman region","20-24 Years","Female","2007",900,
"Tasman region","20-24 Years","Female","2008",930,
"Tasman region","20-24 Years","Female","2009",930,
"Tasman region","20-24 Years","Female","2010",960,
"Tasman region","20-24 Years","Female","2011",970,
"Tasman region","20-24 Years","Female","2012",960,
"Tasman region","20-24 Years","Female","2013",930,
"Tasman region","20-24 Years","Female","2014",970,
"Nelson region","20-24 Years","Male","2006",1260,
"Nelson region","20-24 Years","Male","2007",1230,
"Nelson region","20-24 Years","Male","2008",1240,
"Nelson region","20-24 Years","Male","2009",1260,
"Nelson region","20-24 Years","Female","2006",1160,
"Nelson region","20-24 Years","Female","2007",1150,
"Nelson region","20-24 Years","Female","2008",1180,
"Nelson region","20-24 Years","Female","2009",1230,
"West Coast region","20-24 Years","Male","2006",790,
"West Coast region","20-24 Years","Male","2007",800,
"West Coast region","20-24 Years","Female","2006",680,
"West Coast region","20-24 Years","Female","2007",690,
"Otago region","20-24 Years","Male","2006",9160,
"Otago region","20-24 Years","Male","2007",9020,
"Otago region","20-24 Years","Male","2008",8990,
"Otago region","20-24 Years","Male","2009",9000,
"Otago region","20-24 Years","Male","2010",9060,
"Otago region","20-24 Years","Male","2011",9150,
"Otago region","20-24 Years","Male","2012",9120,
"Otago region","20-24 Years","Male","2013",9110,
"Otago region","20-24 Years","Male","2014",9450,
"Otago region","20-24 Years","Female","2006",9580,
"Otago region","20-24 Years","Female","2007",9420,
"Otago region","20-24 Years","Female","2008",9250,
"Otago region","20-24 Years","Female","2009",9190,
"Otago region","20-24 Years","Female","2010",9220,
"Otago region","20-24 Years","Female","2011",9350,
"Otago region","20-24 Years","Female","2012",9340,
"Otago region","20-24 Years","Female","2013",9380,
"Otago region","20-24 Years","Female","2014",9580,
"Southland region","20-24 Years","Male","2006",2720,
"Southland region","20-24 Years","Male","2007",2710,
"Southland region","20-24 Years","Male","2008",2710,
"Southland region","20-24 Years","Male","2009",2780,
"Southland region","20-24 Years","Male","2010",2900,
"Southland region","20-24 Years","Male","2011",2970,
"Southland region","20-24 Years","Male","2012",2950,
"Southland region","20-24 Years","Male","2013",2980,
"Southland region","20-24 Years","Male","2014",3060,
"Southland region","20-24 Years","Female","2006",2690,
"Southland region","20-24 Years","Female","2007",2610,
"Southland region","20-24 Years","Female","2008",2580,
"Southland region","20-24 Years","Female","2009",2700,
"Southland region","20-24 Years","Female","2010",2780,
"Southland region","20-24 Years","Female","2011",2830,
"Southland region","20-24 Years","Female","2012",2890,
"Southland region","20-24 Years","Female","2013",2810,
"Southland region","20-24 Years","Female","2014",2790,
"Area outside region","20-24 Years","Male","2006",20,
"Area outside region","20-24 Years","Male","2007",15,
"Area outside region","20-24 Years","Male","2008",20,
"Area outside region","20-24 Years","Male","2009",20,
"Area outside region","20-24 Years","Male","2010",20,
"Area outside region","20-24 Years","Male","2011",25,
"Area outside region","20-24 Years","Male","2012",25,
"Area outside region","20-24 Years","Male","2013",25,
"Area outside region","20-24 Years","Male","2014",30,
"Area outside region","20-24 Years","Female","2006",20,
"Area outside region","20-24 Years","Female","2007",20,
"Area outside region","20-24 Years","Female","2008",15,
"Area outside region","20-24 Years","Female","2009",10,
"Area outside region","20-24 Years","Female","2010",10,
"Area outside region","20-24 Years","Female","2011",10,
"Area outside region","20-24 Years","Female","2012",10,
"Area outside region","20-24 Years","Female","2013",10,
"Area outside region","20-24 Years","Female","2014",10,
"Northland region","25-29 Years","Male","2006",3090,
"Northland region","25-29 Years","Male","2007",3110,
"Northland region","25-29 Years","Male","2008",3210,
"Northland region","25-29 Years","Male","2009",3340,
"Northland region","25-29 Years","Male","2010",3480,
"Northland region","25-29 Years","Male","2011",3560,
"Northland region","25-29 Years","Male","2012",3620,
"Northland region","25-29 Years","Male","2013",3590,
"Northland region","25-29 Years","Male","2014",3710,
"Northland region","25-29 Years","Female","2006",3470,
"Northland region","25-29 Years","Female","2007",3530,
"Northland region","25-29 Years","Female","2008",3590,
"Northland region","25-29 Years","Female","2009",3600,
"Northland region","25-29 Years","Female","2010",3700,
"Northland region","25-29 Years","Female","2011",3840,
"Northland region","25-29 Years","Female","2012",3830,
"Northland region","25-29 Years","Female","2013",3970,
"Northland region","25-29 Years","Female","2014",4030,
"Auckland region","25-29 Years","Male","2006",47630,
"Auckland region","25-29 Years","Male","2007",48900,
"Auckland region","25-29 Years","Male","2008",50300,
"Auckland region","25-29 Years","Male","2009",51240,
"Auckland region","25-29 Years","Male","2010",51900,
"Auckland region","25-29 Years","Male","2011",51850,
"Auckland region","25-29 Years","Male","2012",51820,
"Auckland region","25-29 Years","Male","2013",52590,
"Auckland region","25-29 Years","Male","2014",56750,
"Auckland region","25-29 Years","Female","2006",50810,
"Auckland region","25-29 Years","Female","2007",51880,
"Auckland region","25-29 Years","Female","2008",53110,
"Auckland region","25-29 Years","Female","2009",54060,
"Auckland region","25-29 Years","Female","2010",55050,
"Auckland region","25-29 Years","Female","2011",55420,
"Auckland region","25-29 Years","Female","2012",55360,
"Auckland region","25-29 Years","Female","2013",55960,
"Auckland region","25-29 Years","Female","2014",59120,
"Waikato region","25-29 Years","Male","2006",11520,
"Waikato region","25-29 Years","Male","2007",11730,
"Waikato region","25-29 Years","Male","2008",11840,
"Waikato region","25-29 Years","Male","2009",11960,
"Waikato region","25-29 Years","Male","2010",12200,
"Waikato region","25-29 Years","Male","2011",12210,
"Waikato region","25-29 Years","Male","2012",12250,
"Waikato region","25-29 Years","Male","2013",12380,
"Waikato region","25-29 Years","Male","2014",12870,
"Waikato region","25-29 Years","Female","2006",11690,
"Waikato region","25-29 Years","Female","2007",11900,
"Waikato region","25-29 Years","Female","2008",12070,
"Waikato region","25-29 Years","Female","2009",12260,
"Waikato region","25-29 Years","Female","2010",12350,
"Waikato region","25-29 Years","Female","2011",12610,
"Waikato region","25-29 Years","Female","2012",12790,
"Waikato region","25-29 Years","Female","2013",12960,
"Waikato region","25-29 Years","Female","2014",13280,
"Bay of Plenty region","25-29 Years","Male","2006",6560,
"Bay of Plenty region","25-29 Years","Male","2007",6550,
"Bay of Plenty region","25-29 Years","Male","2008",6460,
"Bay of Plenty region","25-29 Years","Male","2009",6540,
"Bay of Plenty region","25-29 Years","Male","2010",6580,
"Bay of Plenty region","25-29 Years","Male","2011",6650,
"Bay of Plenty region","25-29 Years","Male","2012",6650,
"Bay of Plenty region","25-29 Years","Male","2013",6750,
"Bay of Plenty region","25-29 Years","Male","2014",6860,
"Bay of Plenty region","25-29 Years","Female","2006",7140,
"Bay of Plenty region","25-29 Years","Female","2007",7170,
"Bay of Plenty region","25-29 Years","Female","2008",7180,
"Bay of Plenty region","25-29 Years","Female","2009",7170,
"Bay of Plenty region","25-29 Years","Female","2010",7210,
"Bay of Plenty region","25-29 Years","Female","2011",7250,
"Bay of Plenty region","25-29 Years","Female","2012",7300,
"Bay of Plenty region","25-29 Years","Female","2013",7500,
"Bay of Plenty region","25-29 Years","Female","2014",7600,
"Gisborne region","25-29 Years","Male","2006",1130,
"Gisborne region","25-29 Years","Male","2007",1130,
"Gisborne region","25-29 Years","Male","2008",1110,
"Gisborne region","25-29 Years","Male","2009",1120,
"Gisborne region","25-29 Years","Male","2010",1110,
"Gisborne region","25-29 Years","Male","2011",1120,
"Gisborne region","25-29 Years","Male","2012",1150,
"Gisborne region","25-29 Years","Male","2013",1160,
"Gisborne region","25-29 Years","Male","2014",1190,
"Gisborne region","25-29 Years","Female","2006",1290,
"Gisborne region","25-29 Years","Female","2007",1260,
"Gisborne region","25-29 Years","Female","2008",1270,
"Gisborne region","25-29 Years","Female","2009",1280,
"Gisborne region","25-29 Years","Female","2010",1310,
"Gisborne region","25-29 Years","Female","2011",1300,
"Gisborne region","25-29 Years","Female","2012",1350,
"Gisborne region","25-29 Years","Female","2013",1380,
"Gisborne region","25-29 Years","Female","2014",1390,
"Hawke's Bay region","25-29 Years","Male","2006",3720,
"Hawke's Bay region","25-29 Years","Male","2007",3730,
"Hawke's Bay region","25-29 Years","Male","2008",3670,
"Hawke's Bay region","25-29 Years","Male","2009",3700,
"Hawke's Bay region","25-29 Years","Male","2010",3720,
"Hawke's Bay region","25-29 Years","Male","2011",3690,
"Hawke's Bay region","25-29 Years","Male","2012",3660,
"Hawke's Bay region","25-29 Years","Male","2013",3680,
"Hawke's Bay region","25-29 Years","Male","2014",3760,
"Hawke's Bay region","25-29 Years","Female","2006",4110,
"Hawke's Bay region","25-29 Years","Female","2007",4040,
"Hawke's Bay region","25-29 Years","Female","2008",4010,
"Hawke's Bay region","25-29 Years","Female","2009",3960,
"Hawke's Bay region","25-29 Years","Female","2010",3960,
"Hawke's Bay region","25-29 Years","Female","2011",3900,
"Hawke's Bay region","25-29 Years","Female","2012",3920,
"Hawke's Bay region","25-29 Years","Female","2013",4010,
"Hawke's Bay region","25-29 Years","Female","2014",4050,
"Taranaki region","25-29 Years","Male","2006",2840,
"Taranaki region","25-29 Years","Male","2007",2870,
"Taranaki region","25-29 Years","Male","2008",2930,
"Taranaki region","25-29 Years","Male","2009",2940,
"Taranaki region","25-29 Years","Male","2010",2980,
"Taranaki region","25-29 Years","Male","2011",2960,
"Taranaki region","25-29 Years","Male","2012",3010,
"Taranaki region","25-29 Years","Male","2013",3080,
"Taranaki region","25-29 Years","Male","2014",3150,
"Taranaki region","25-29 Years","Female","2006",2920,
"Taranaki region","25-29 Years","Female","2007",2900,
"Taranaki region","25-29 Years","Female","2008",2960,
"Taranaki region","25-29 Years","Female","2009",3010,
"Taranaki region","25-29 Years","Female","2010",3030,
"Taranaki region","25-29 Years","Female","2011",3080,
"Taranaki region","25-29 Years","Female","2012",3140,
"Taranaki region","25-29 Years","Female","2013",3280,
"Taranaki region","25-29 Years","Female","2014",3290,
"Manawatu-Wanganui region","25-29 Years","Male","2006",6290,
"Manawatu-Wanganui region","25-29 Years","Male","2007",6280,
"Manawatu-Wanganui region","25-29 Years","Male","2008",6330,
"Manawatu-Wanganui region","25-29 Years","Male","2009",6380,
"Manawatu-Wanganui region","25-29 Years","Male","2010",6360,
"Manawatu-Wanganui region","25-29 Years","Male","2011",6340,
"Manawatu-Wanganui region","25-29 Years","Male","2012",6330,
"Manawatu-Wanganui region","25-29 Years","Male","2013",6340,
"Manawatu-Wanganui region","25-29 Years","Male","2014",6500,
"Manawatu-Wanganui region","25-29 Years","Female","2006",6460,
"Manawatu-Wanganui region","25-29 Years","Female","2007",6510,
"Manawatu-Wanganui region","25-29 Years","Female","2008",6560,
"Manawatu-Wanganui region","25-29 Years","Female","2009",6590,
"Manawatu-Wanganui region","25-29 Years","Female","2010",6680,
"Manawatu-Wanganui region","25-29 Years","Female","2011",6690,
"Manawatu-Wanganui region","25-29 Years","Female","2012",6680,
"Manawatu-Wanganui region","25-29 Years","Female","2013",6800,
"Manawatu-Wanganui region","25-29 Years","Female","2014",6930,
"Wellington region","25-29 Years","Male","2006",15600,
"Wellington region","25-29 Years","Male","2007",15820,
"Wellington region","25-29 Years","Male","2008",16000,
"Wellington region","25-29 Years","Male","2009",16120,
"Wellington region","25-29 Years","Male","2010",15870,
"Wellington region","25-29 Years","Male","2011",15690,
"Wellington region","25-29 Years","Male","2012",15460,
"Wellington region","25-29 Years","Male","2013",15380,
"Wellington region","25-29 Years","Male","2014",15950,
"Wellington region","25-29 Years","Female","2006",16470,
"Wellington region","25-29 Years","Female","2007",16740,
"Wellington region","25-29 Years","Female","2008",16880,
"Wellington region","25-29 Years","Female","2009",17020,
"Wellington region","25-29 Years","Female","2010",16950,
"Wellington region","25-29 Years","Female","2011",16800,
"Wellington region","25-29 Years","Female","2012",16650,
"Wellington region","25-29 Years","Female","2013",16570,
"Wellington region","25-29 Years","Female","2014",17150,
"Tasman region","25-29 Years","Male","2006",940,
"Tasman region","25-29 Years","Male","2007",950,
"Tasman region","25-29 Years","Male","2008",920,
"Tasman region","25-29 Years","Male","2009",930,
"Tasman region","25-29 Years","Male","2010",940,
"Tasman region","25-29 Years","Male","2011",930,
"Tasman region","25-29 Years","Male","2012",920,
"Tasman region","25-29 Years","Male","2013",900,
"Tasman region","25-29 Years","Male","2014",910,
"Tasman region","25-29 Years","Female","2006",1000,
"Tasman region","25-29 Years","Female","2007",950,
"Tasman region","25-29 Years","Female","2008",950,
"Tasman region","25-29 Years","Female","2009",960,
"Tasman region","25-29 Years","Female","2010",980,
"Tasman region","25-29 Years","Female","2011",960,
"Tasman region","25-29 Years","Female","2012",970,
"Tasman region","25-29 Years","Female","2013",950,
"Tasman region","25-29 Years","Female","2014",910,
"Nelson region","25-29 Years","Male","2006",1200,
"Nelson region","25-29 Years","Male","2007",1210,
"Nelson region","25-29 Years","Male","2008",1200,
"Nelson region","25-29 Years","Male","2009",1210,
"Nelson region","25-29 Years","Female","2006",1220,
"Nelson region","25-29 Years","Female","2007",1200,
"Nelson region","25-29 Years","Female","2008",1220,
"Nelson region","25-29 Years","Female","2009",1230,
"West Coast region","25-29 Years","Male","2006",790,
"West Coast region","25-29 Years","Male","2007",780,
"West Coast region","25-29 Years","Female","2006",830,
"West Coast region","25-29 Years","Female","2007",830,
"Otago region","25-29 Years","Male","2006",6020,
"Otago region","25-29 Years","Male","2007",6130,
"Otago region","25-29 Years","Male","2008",6170,
"Otago region","25-29 Years","Male","2009",6180,
"Otago region","25-29 Years","Male","2010",6170,
"Otago region","25-29 Years","Male","2011",6070,
"Otago region","25-29 Years","Male","2012",6020,
"Otago region","25-29 Years","Male","2013",6040,
"Otago region","25-29 Years","Male","2014",6400,
"Otago region","25-29 Years","Female","2006",6130,
"Otago region","25-29 Years","Female","2007",6230,
"Otago region","25-29 Years","Female","2008",6300,
"Otago region","25-29 Years","Female","2009",6250,
"Otago region","25-29 Years","Female","2010",6250,
"Otago region","25-29 Years","Female","2011",6150,
"Otago region","25-29 Years","Female","2012",6040,
"Otago region","25-29 Years","Female","2013",6010,
"Otago region","25-29 Years","Female","2014",6300,
"Southland region","25-29 Years","Male","2006",2600,
"Southland region","25-29 Years","Male","2007",2600,
"Southland region","25-29 Years","Male","2008",2560,
"Southland region","25-29 Years","Male","2009",2650,
"Southland region","25-29 Years","Male","2010",2650,
"Southland region","25-29 Years","Male","2011",2690,
"Southland region","25-29 Years","Male","2012",2700,
"Southland region","25-29 Years","Male","2013",2750,
"Southland region","25-29 Years","Male","2014",2800,
"Southland region","25-29 Years","Female","2006",2640,
"Southland region","25-29 Years","Female","2007",2650,
"Southland region","25-29 Years","Female","2008",2700,
"Southland region","25-29 Years","Female","2009",2740,
"Southland region","25-29 Years","Female","2010",2830,
"Southland region","25-29 Years","Female","2011",2880,
"Southland region","25-29 Years","Female","2012",2820,
"Southland region","25-29 Years","Female","2013",2870,
"Southland region","25-29 Years","Female","2014",2970,
"Area outside region","25-29 Years","Male","2006",15,
"Area outside region","25-29 Years","Male","2007",20,
"Area outside region","25-29 Years","Male","2008",20,
"Area outside region","25-29 Years","Male","2009",15,
"Area outside region","25-29 Years","Male","2010",20,
"Area outside region","25-29 Years","Male","2011",20,
"Area outside region","25-29 Years","Male","2012",15,
"Area outside region","25-29 Years","Male","2013",20,
"Area outside region","25-29 Years","Male","2014",25,
"Area outside region","25-29 Years","Female","2006",15,
"Area outside region","25-29 Years","Female","2007",15,
"Area outside region","25-29 Years","Female","2008",15,
"Area outside region","25-29 Years","Female","2009",20,
"Area outside region","25-29 Years","Female","2010",15,
"Area outside region","25-29 Years","Female","2011",15,
"Area outside region","25-29 Years","Female","2012",15,
"Area outside region","25-29 Years","Female","2013",10,
"Area outside region","25-29 Years","Female","2014",10,
"Northland region","30-34 Years","Male","2006",3960,
"Northland region","30-34 Years","Male","2007",3800,
"Northland region","30-34 Years","Male","2008",3640,
"Northland region","30-34 Years","Male","2009",3500,
"Northland region","30-34 Years","Male","2010",3400,
"Northland region","30-34 Years","Male","2011",3400,
"Northland region","30-34 Years","Male","2012",3400,
"Northland region","30-34 Years","Male","2013",3440,
"Northland region","30-34 Years","Male","2014",3520,
"Northland region","30-34 Years","Female","2006",4460,
"Northland region","30-34 Years","Female","2007",4350,
"Northland region","30-34 Years","Female","2008",4190,
"Northland region","30-34 Years","Female","2009",4120,
"Northland region","30-34 Years","Female","2010",4040,
"Northland region","30-34 Years","Female","2011",3940,
"Northland region","30-34 Years","Female","2012",3880,
"Northland region","30-34 Years","Female","2013",3900,
"Northland region","30-34 Years","Female","2014",3850,
"Auckland region","30-34 Years","Male","2006",49230,
"Auckland region","30-34 Years","Male","2007",47930,
"Auckland region","30-34 Years","Male","2008",46970,
"Auckland region","30-34 Years","Male","2009",47000,
"Auckland region","30-34 Years","Male","2010",47090,
"Auckland region","30-34 Years","Male","2011",47930,
"Auckland region","30-34 Years","Male","2012",48640,
"Auckland region","30-34 Years","Male","2013",50040,
"Auckland region","30-34 Years","Male","2014",52130,
"Auckland region","30-34 Years","Female","2006",54310,
"Auckland region","30-34 Years","Female","2007",53150,
"Auckland region","30-34 Years","Female","2008",52140,
"Auckland region","30-34 Years","Female","2009",51810,
"Auckland region","30-34 Years","Female","2010",52040,
"Auckland region","30-34 Years","Female","2011",52740,
"Auckland region","30-34 Years","Female","2012",53670,
"Auckland region","30-34 Years","Female","2013",55020,
"Auckland region","30-34 Years","Female","2014",57000,
"Waikato region","30-34 Years","Male","2006",11890,
"Waikato region","30-34 Years","Male","2007",11730,
"Waikato region","30-34 Years","Male","2008",11580,
"Waikato region","30-34 Years","Male","2009",11500,
"Waikato region","30-34 Years","Male","2010",11530,
"Waikato region","30-34 Years","Male","2011",11690,
"Waikato region","30-34 Years","Male","2012",11650,
"Waikato region","30-34 Years","Male","2013",11600,
"Waikato region","30-34 Years","Male","2014",11760,
"Waikato region","30-34 Years","Female","2006",12980,
"Waikato region","30-34 Years","Female","2007",12640,
"Waikato region","30-34 Years","Female","2008",12400,
"Waikato region","30-34 Years","Female","2009",12370,
"Waikato region","30-34 Years","Female","2010",12500,
"Waikato region","30-34 Years","Female","2011",12540,
"Waikato region","30-34 Years","Female","2012",12620,
"Waikato region","30-34 Years","Female","2013",12670,
"Waikato region","30-34 Years","Female","2014",12830,
"Bay of Plenty region","30-34 Years","Male","2006",7550,
"Bay of Plenty region","30-34 Years","Male","2007",7400,
"Bay of Plenty region","30-34 Years","Male","2008",7270,
"Bay of Plenty region","30-34 Years","Male","2009",7050,
"Bay of Plenty region","30-34 Years","Male","2010",6890,
"Bay of Plenty region","30-34 Years","Male","2011",6780,
"Bay of Plenty region","30-34 Years","Male","2012",6660,
"Bay of Plenty region","30-34 Years","Male","2013",6540,
"Bay of Plenty region","30-34 Years","Male","2014",6610,
"Bay of Plenty region","30-34 Years","Female","2006",8550,
"Bay of Plenty region","30-34 Years","Female","2007",8360,
"Bay of Plenty region","30-34 Years","Female","2008",8070,
"Bay of Plenty region","30-34 Years","Female","2009",8010,
"Bay of Plenty region","30-34 Years","Female","2010",7860,
"Bay of Plenty region","30-34 Years","Female","2011",7790,
"Bay of Plenty region","30-34 Years","Female","2012",7700,
"Bay of Plenty region","30-34 Years","Female","2013",7630,
"Bay of Plenty region","30-34 Years","Female","2014",7610,
"Gisborne region","30-34 Years","Male","2006",1320,
"Gisborne region","30-34 Years","Male","2007",1280,
"Gisborne region","30-34 Years","Male","2008",1240,
"Gisborne region","30-34 Years","Male","2009",1200,
"Gisborne region","30-34 Years","Male","2010",1210,
"Gisborne region","30-34 Years","Male","2011",1180,
"Gisborne region","30-34 Years","Male","2012",1150,
"Gisborne region","30-34 Years","Male","2013",1120,
"Gisborne region","30-34 Years","Male","2014",1110,
"Gisborne region","30-34 Years","Female","2006",1460,
"Gisborne region","30-34 Years","Female","2007",1420,
"Gisborne region","30-34 Years","Female","2008",1360,
"Gisborne region","30-34 Years","Female","2009",1380,
"Gisborne region","30-34 Years","Female","2010",1350,
"Gisborne region","30-34 Years","Female","2011",1350,
"Gisborne region","30-34 Years","Female","2012",1350,
"Gisborne region","30-34 Years","Female","2013",1370,
