random_ID,surf_ID,age_category,sex,ethnicity,highest_qualification,weekly_hours,weekly_income
84,1,25,F,european/pakeha,post-school,30,400
85,1,35,M,maori,no qual,65,1320
86,1,45,F,european/pakeha,vocational/trade,37,390
87,1,30,M,european/pakeha,post-school,56,750
88,1,55,M,european/pakeha,school,29,1780
89,1,50,F,european/pakeha,no qual,22,210
90,1,55,F,european/pakeha,bachelor or higher,12,460
91,1,30,M,european/pakeha,vocational/trade,64,750
92,1,50,F,european/pakeha,no qual,76,960
93,1,45,F,european/pakeha,vocational/trade,35,1040
94,1,35,M,european/pakeha,vocational/trade,79,650
95,1,25,M,other,vocational/trade,26,620
96,1,30,F,european/pakeha,school,37,450
97,1,25,M,european/pakeha,vocational/trade,45,750
98,1,25,F,european/pakeha,bachelor or higher,24,500
99,1,45,F,european/pakeha,post-school,29,400
100,1,40,F,european/pakeha,school,20,1130
101,1,30,F,european/pakeha,post-school,68,740
102,1,30,M,pacific,school,41,500
103,1,45,M,other,vocational/trade,20,470
104,1,25,M,european/pakeha,bachelor or higher,40,690
105,1,55,F,european/pakeha,vocational/trade,38,470
106,1,40,F,other,school,38,460
107,1,35,M,european/pakeha,no qual,25,440
108,1,35,M,maori,vocational/trade,40,480
109,1,35,F,european/pakeha,post-school,38,570
110,1,55,M,european/pakeha,vocational/trade,55,650
111,1,40,F,european/pakeha,no qual,53,900
112,1,40,M,european/pakeha,vocational/trade,42,570
113,1,45,F,european/pakeha,post-school,10,350
114,1,25,F,european/pakeha,bachelor or higher,44,1400
115,1,45,M,european/pakeha,no qual,58,1160
116,1,30,F,maori,school,22,310
117,1,55,M,european/pakeha,vocational/trade,40,670
118,1,30,F,pacific,vocational/trade,40,480
119,1,30,F,european/pakeha,vocational/trade,50,550
120,1,30,F,other,vocational/trade,17,350
121,1,35,M,pacific,school,40,460
122,1,60,M,european/pakeha,vocational/trade,80,1350
123,1,25,M,european/pakeha,vocational/trade,40,670
124,1,35,M,maori,vocational/trade,40,990
125,1,35,F,european/pakeha,bachelor or higher,8,110
126,1,45,M,non-maori combination,vocational/trade,50,1370
127,1,50,M,maori,post-school,30,910
128,1,45,M,pacific,vocational/trade,40,500
129,1,45,F,european/pakeha,school,35,990
130,1,45,F,european/pakeha,school,22,430
131,1,45,M,maori combination,no qual,58,400
132,1,30,F,european/pakeha,bachelor or higher,40,1180
133,1,40,M,european/pakeha,vocational/trade,60,860
134,1,45,F,european/pakeha,school,15,210
135,1,40,F,european/pakeha,no qual,38,840
136,1,50,F,european/pakeha,vocational/trade,20,850
137,1,35,F,european/pakeha,bachelor or higher,38,750
138,1,35,F,european/pakeha,school,23,210
139,1,30,M,maori,bachelor or higher,41,1340
140,1,45,F,european/pakeha,bachelor or higher,60,2040
141,1,50,M,european/pakeha,vocational/trade,43,730
142,1,40,F,maori,school,21,390
143,1,30,M,european/pakeha,school,45,540
144,1,50,M,european/pakeha,school,40,790
145,1,35,M,european/pakeha,school,40,1080
146,1,50,M,european/pakeha,bachelor or higher,35,1310
147,1,35,M,european/pakeha,vocational/trade,45,1660
148,1,35,M,european/pakeha,vocational/trade,46,730
149,1,50,F,european/pakeha,school,38,660
150,1,55,F,other,post-school,47,460
151,1,30,F,maori combination,school,40,470
152,1,35,F,european/pakeha,bachelor or higher,26,840
153,1,35,F,maori,bachelor or higher,48,150
154,1,40,M,european/pakeha,bachelor or higher,55,1170
155,1,45,M,european/pakeha,no qual,40,630
156,1,50,M,european/pakeha,vocational/trade,40,640
157,1,45,M,other,vocational/trade,46,590
158,1,55,M,european/pakeha,school,25,270
159,1,50,F,european/pakeha,no qual,22,340
160,1,50,F,other,school,48,400
161,1,60,F,european/pakeha,no qual,40,370
162,1,35,F,european/pakeha,vocational/trade,40,810
163,1,35,M,european/pakeha,vocational/trade,28,570
164,1,50,M,european/pakeha,bachelor or higher,31,90
165,1,40,F,maori,vocational/trade,40,560
166,1,40,F,european/pakeha,vocational/trade,40,1640
167,1,45,M,european/pakeha,vocational/trade,50,7710
168,1,30,F,european/pakeha,school,30,610
169,1,35,M,european/pakeha,vocational/trade,41,1390
170,1,35,M,european/pakeha,post-school,70,1180
171,1,45,F,maori,vocational/trade,42,890
172,1,40,F,european/pakeha,no qual,30,680
173,1,25,F,european/pakeha,school,37,750
174,1,55,M,european/pakeha,bachelor or higher,40,1650
175,1,45,F,european/pakeha,bachelor or higher,24,330
176,1,55,M,european/pakeha,vocational/trade,40,500
177,1,30,F,european/pakeha,vocational/trade,40,930
178,1,30,F,european/pakeha,bachelor or higher,27,1220
179,1,35,M,european/pakeha,school,40,1000
180,1,60,F,european/pakeha,school,40,1020
181,1,35,F,european/pakeha,vocational/trade,14,320
182,1,35,M,european/pakeha,vocational/trade,40,1390
183,1,35,M,european/pakeha,bachelor or higher,34,1150
184,1,60,F,european/pakeha,school,20,480
185,1,25,F,other,school,20,530
186,1,55,M,european/pakeha,vocational/trade,50,1120
187,1,35,M,european/pakeha,bachelor or higher,28,1100
188,1,35,M,european/pakeha,no qual,25,410
189,1,45,M,european/pakeha,bachelor or higher,55,1100
190,1,35,F,european/pakeha,vocational/trade,21,210
191,1,35,F,european/pakeha,bachelor or higher,19,360
192,1,30,M,european/pakeha,vocational/trade,55,650
193,1,40,F,maori,vocational/trade,18,340
194,1,55,F,european/pakeha,no qual,30,490
195,1,25,F,european/pakeha,vocational/trade,20,830
196,1,35,F,european/pakeha,no qual,9,520
197,1,60,M,european/pakeha,no qual,45,1300
198,1,25,F,maori,post-school,22,270
199,1,45,F,european/pakeha,school,20,220
200,1,25,F,pacific,vocational/trade,30,560
201,1,40,M,european/pakeha,vocational/trade,40,580
202,1,40,M,european/pakeha,bachelor or higher,40,1660
203,1,30,F,european/pakeha,vocational/trade,37,770
204,1,35,F,european/pakeha,vocational/trade,40,910
205,1,25,M,european/pakeha,bachelor or higher,56,1200
206,1,45,M,european/pakeha,school,40,1060
207,1,25,M,european/pakeha,vocational/trade,37,860
208,1,40,M,european/pakeha,school,50,810
209,1,55,M,european/pakeha,vocational/trade,38,720
210,1,30,F,pacific,bachelor or higher,24,580
211,1,50,M,european/pakeha,bachelor or higher,45,1170
212,1,30,F,european/pakeha,school,38,710
213,1,45,F,european/pakeha,bachelor or higher,40,1710
214,1,25,F,maori,vocational/trade,40,460
215,1,55,M,european/pakeha,vocational/trade,45,990
216,1,35,M,european/pakeha,vocational/trade,45,790
217,1,35,M,european/pakeha,post-school,56,1310
218,1,30,M,pacific,bachelor or higher,36,230
219,1,40,M,european/pakeha,vocational/trade,50,1250
220,1,30,F,maori,vocational/trade,21,270
221,1,45,F,european/pakeha,vocational/trade,43,1250
222,1,45,F,european/pakeha,no qual,34,560
223,1,25,M,european/pakeha,vocational/trade,45,500
224,1,40,F,european/pakeha,vocational/trade,32,400
225,1,50,F,european/pakeha,no qual,40,630
226,1,30,F,european/pakeha,vocational/trade,16,300
227,1,35,M,european/pakeha,vocational/trade,40,890
228,1,50,M,european/pakeha,bachelor or higher,40,460
229,1,30,F,maori combination,bachelor or higher,38,540
230,1,45,F,maori combination,school,52,580
231,1,30,M,european/pakeha,bachelor or higher,24,840
232,1,45,F,european/pakeha,no qual,20,260
233,1,55,M,european/pakeha,vocational/trade,55,1790
234,1,30,F,maori,vocational/trade,40,610
235,1,60,F,european/pakeha,post-school,28,190
236,1,45,F,european/pakeha,school,42,640
237,1,35,F,maori,vocational/trade,20,800
238,1,50,M,european/pakeha,bachelor or higher,33,1640
239,1,35,M,european/pakeha,vocational/trade,27,450
240,1,30,M,european/pakeha,vocational/trade,48,1140
241,1,40,F,european/pakeha,vocational/trade,30,510
242,1,55,F,maori,no qual,9,250
243,1,40,F,european/pakeha,no qual,22,580
244,1,35,F,european/pakeha,vocational/trade,20,230
245,1,25,M,european/pakeha,school,40,600
246,1,45,F,european/pakeha,bachelor or higher,24,330
247,1,55,F,european/pakeha,no qual,18,180
248,1,45,M,european/pakeha,vocational/trade,50,1270
249,1,50,M,maori,vocational/trade,28,560
250,1,35,M,european/pakeha,vocational/trade,40,750
251,1,30,M,european/pakeha,bachelor or higher,79,1610
252,1,55,F,european/pakeha,no qual,32,360
253,1,35,F,maori,school,44,920
254,1,25,F,maori,vocational/trade,51,1600
255,1,50,F,european/pakeha,school,37,670
256,1,50,F,european/pakeha,no qual,37,410
257,1,40,F,european/pakeha,school,30,600
258,1,45,F,european/pakeha,vocational/trade,40,720
259,1,25,M,european/pakeha,bachelor or higher,40,430
260,1,30,M,european/pakeha,vocational/trade,45,1220
261,1,35,F,european/pakeha,no qual,30,290
262,1,45,M,european/pakeha,vocational/trade,58,840
263,1,45,F,european/pakeha,no qual,24,260
264,1,30,M,european/pakeha,bachelor or higher,40,760
265,1,40,M,european/pakeha,vocational/trade,45,710
266,1,30,M,pacific,no qual,54,1440
267,1,35,M,european/pakeha,bachelor or higher,42,970
268,1,40,M,european/pakeha,no qual,40,520
269,1,40,M,european/pakeha,no qual,57,750
270,1,40,M,european/pakeha,no qual,43,670
271,1,30,F,european/pakeha,vocational/trade,30,400
272,1,45,F,european/pakeha,vocational/trade,13,970
273,1,40,M,european/pakeha,vocational/trade,45,730
274,1,45,M,european/pakeha,bachelor or higher,32,510
275,1,30,F,european/pakeha,vocational/trade,37,580
276,1,45,F,european/pakeha,school,35,350
277,1,35,F,european/pakeha,post-school,23,450
278,1,40,F,european/pakeha,vocational/trade,34,600
279,1,40,M,european/pakeha,no qual,50,500
280,1,35,M,european/pakeha,no qual,40,510
281,1,50,M,european/pakeha,vocational/trade,43,1220
282,1,25,F,european/pakeha,vocational/trade,39,570
283,1,45,M,european/pakeha,vocational/trade,50,1260
284,1,50,M,european/pakeha,vocational/trade,40,940
285,1,30,M,european/pakeha,vocational/trade,33,390
286,1,45,F,european/pakeha,school,42,670
287,1,35,F,european/pakeha,vocational/trade,53,620
288,1,35,M,maori,post-school,52,1290
289,1,30,M,maori combination,vocational/trade,55,440
290,1,40,F,european/pakeha,school,40,610
291,1,40,F,european/pakeha,post-school,28,460
292,1,25,F,european/pakeha,vocational/trade,39,1090
293,1,30,M,other,bachelor or higher,33,280
294,1,55,F,maori,bachelor or higher,45,1080
295,1,50,F,european/pakeha,no qual,38,370
296,1,55,M,european/pakeha,bachelor or higher,42,1850
297,1,30,F,european/pakeha,bachelor or higher,30,320
298,1,45,F,european/pakeha,school,50,1080
299,1,40,F,european/pakeha,vocational/trade,40,400
300,1,35,M,european/pakeha,bachelor or higher,50,3150
301,1,45,M,european/pakeha,vocational/trade,70,660
302,1,55,M,european/pakeha,school,58,650
303,1,45,M,european/pakeha,vocational/trade,38,960
304,1,50,M,european/pakeha,vocational/trade,25,750
305,1,30,F,european/pakeha,school,40,540
306,1,30,F,european/pakeha,bachelor or higher,35,730
307,1,55,M,maori,vocational/trade,27,570
308,1,30,F,european/pakeha,no qual,17,480
309,1,35,F,maori,no qual,44,530
310,1,45,F,european/pakeha,bachelor or higher,4,500
311,1,40,F,european/pakeha,vocational/trade,40,450
312,1,30,F,european/pakeha,school,22,490
313,1,50,F,european/pakeha,no qual,16,140
314,1,35,F,maori,vocational/trade,46,890
315,1,45,F,european/pakeha,school,35,590
316,1,45,F,european/pakeha,bachelor or higher,26,700
317,1,35,F,european/pakeha,school,40,800
318,1,35,F,other,bachelor or higher,35,670
319,1,40,F,maori,vocational/trade,46,730
320,1,40,M,european/pakeha,school,39,760
321,1,25,F,pacific,bachelor or higher,48,1320
322,1,35,M,european/pakeha,no qual,40,670
323,1,55,M,european/pakeha,vocational/trade,42,660
324,1,30,M,european/pakeha,vocational/trade,40,850
325,1,55,M,european/pakeha,bachelor or higher,62,890
326,1,40,M,european/pakeha,vocational/trade,42,1650
327,1,30,M,pacific,post-school,55,860
328,1,40,M,european/pakeha,school,39,1060
329,1,55,F,european/pakeha,no qual,17,130
330,1,25,M,maori,no qual,32,380
331,1,35,M,pacific,school,40,390
332,1,30,M,european/pakeha,school,50,900
333,1,35,F,european/pakeha,vocational/trade,6,290
334,1,55,M,maori combination,no qual,78,830
335,1,40,M,maori,vocational/trade,36,390
336,1,30,F,european/pakeha,bachelor or higher,40,1170
337,1,30,M,maori combination,school,23,410
338,1,40,M,european/pakeha,school,40,1050
339,1,30,F,european/pakeha,bachelor or higher,40,590
340,1,55,M,european/pakeha,vocational/trade,38,710
341,1,25,M,european/pakeha,school,43,640
342,1,25,F,european/pakeha,post-school,11,280
343,1,40,M,other,bachelor or higher,60,730
344,1,25,F,european/pakeha,bachelor or higher,42,730
345,1,45,F,european/pakeha,school,38,820
346,1,35,F,european/pakeha,no qual,33,610
347,1,25,M,european/pakeha,bachelor or higher,37,540
348,1,50,M,pacific,school,43,610
349,1,40,M,european/pakeha,post-school,21,400
350,1,25,F,other,school,19,270
351,1,25,F,maori combination,school,70,1120
352,1,25,F,european/pakeha,vocational/trade,39,710
353,1,55,F,maori combination,school,35,900
354,1,50,F,european/pakeha,vocational/trade,15,400
355,1,55,F,maori,school,43,1400
356,1,30,F,european/pakeha,school,44,540
357,1,40,F,european/pakeha,no qual,35,440
358,1,25,F,maori,no qual,32,390
359,1,45,F,other,school,38,310
360,1,55,F,european/pakeha,vocational/trade,38,460
361,1,45,F,european/pakeha,vocational/trade,50,630
362,1,45,M,european/pakeha,vocational/trade,47,790
363,1,45,F,european/pakeha,bachelor or higher,52,1450
364,1,45,F,european/pakeha,school,38,400
365,1,25,M,european/pakeha,school,8,220
366,1,55,F,european/pakeha,vocational/trade,32,640
367,1,55,F,european/pakeha,no qual,25,480
368,1,45,M,european/pakeha,school,40,1090
369,1,30,F,european/pakeha,no qual,16,160
370,1,50,F,european/pakeha,vocational/trade,37,690
371,1,45,M,european/pakeha,no qual,58,1060
372,1,35,F,pacific,vocational/trade,35,700
373,1,55,F,european/pakeha,no qual,40,540
374,1,25,M,european/pakeha,vocational/trade,57,1450
375,1,40,M,european/pakeha,vocational/trade,40,690
376,1,60,F,european/pakeha,no qual,18,320
377,1,50,M,maori,vocational/trade,67,1200
378,1,40,M,european/pakeha,vocational/trade,55,840
379,1,40,F,european/pakeha,no qual,15,680
380,1,45,F,european/pakeha,school,24,410
381,1,55,F,european/pakeha,no qual,35,380
382,1,25,M,european/pakeha,bachelor or higher,54,1000
383,1,40,M,pacific,post-school,48,470
384,1,50,F,european/pakeha,school,38,790
385,1,55,M,european/pakeha,no qual,45,410
386,1,40,M,european/pakeha,school,39,820
387,1,30,F,maori,vocational/trade,40,610
388,1,35,F,maori,vocational/trade,115,780
389,1,30,M,maori,school,32,710
390,1,35,M,european/pakeha,no qual,40,400
391,1,55,F,european/pakeha,school,26,250
392,1,40,M,european/pakeha,vocational/trade,58,1270
393,1,35,M,european/pakeha,school,50,1570
394,1,35,F,european/pakeha,no qual,28,250
395,1,40,F,maori,no qual,20,220
396,1,50,F,european/pakeha,school,64,830
397,1,30,M,european/pakeha,vocational/trade,45,800
398,1,35,F,european/pakeha,bachelor or higher,49,1000
399,1,45,M,european/pakeha,vocational/trade,40,480
400,1,40,F,european/pakeha,no qual,29,240
401,1,30,M,european/pakeha,vocational/trade,45,770
402,1,55,F,european/pakeha,post-school,20,320
403,1,50,F,european/pakeha,post-school,21,610
404,1,25,F,non-maori combination,vocational/trade,16,410
405,1,50,M,european/pakeha,post-school,45,730
406,1,35,F,european/pakeha,vocational/trade,12,280
407,1,45,F,european/pakeha,school,40,620
408,1,35,M,maori,school,76,730
409,1,25,M,european/pakeha,bachelor or higher,45,750
410,1,40,M,european/pakeha,bachelor or higher,40,1570
411,1,30,M,maori,vocational/trade,40,380
412,1,35,F,maori combination,school,26,490
413,1,25,M,european/pakeha,vocational/trade,40,450
414,1,50,F,european/pakeha,school,36,930
415,1,45,M,maori combination,no qual,33,660
416,1,60,M,european/pakeha,school,21,180
417,1,50,F,european/pakeha,vocational/trade,56,870
418,1,50,F,european/pakeha,vocational/trade,38,390
419,1,25,F,european/pakeha,school,36,390
420,1,30,F,european/pakeha,vocational/trade,25,610
421,1,50,M,other,bachelor or higher,75,1110
422,1,60,F,european/pakeha,post-school,29,290
423,1,35,F,european/pakeha,no qual,40,630
424,1,50,F,european/pakeha,no qual,40,410
425,1,40,F,european/pakeha,school,13,380
426,1,40,F,other,school,10,70
427,1,30,M,pacific,school,40,560
428,1,45,F,european/pakeha,school,25,560
429,1,40,F,european/pakeha,vocational/trade,37,340
430,1,50,F,pacific,school,43,610
431,1,60,F,european/pakeha,vocational/trade,48,450
432,1,35,M,european/pakeha,school,55,880
433,1,45,F,european/pakeha,school,27,390
434,1,25,M,european/pakeha,school,42,560
435,1,40,F,european/pakeha,vocational/trade,24,290
436,1,60,M,european/pakeha,vocational/trade,21,600
437,1,50,M,european/pakeha,vocational/trade,54,620
438,1,30,F,maori,vocational/trade,14,330
439,1,25,M,european/pakeha,bachelor or higher,69,1550
440,1,25,F,european/pakeha,bachelor or higher,42,780
441,1,30,M,european/pakeha,school,89,1160
442,1,55,F,european/pakeha,no qual,30,210
443,1,40,M,european/pakeha,vocational/trade,48,560
444,1,55,M,european/pakeha,school,25,320
445,1,55,M,european/pakeha,no qual,46,1200
446,1,25,F,european/pakeha,bachelor or higher,40,1370
447,1,55,M,european/pakeha,no qual,49,650
448,1,55,F,european/pakeha,no qual,40,840
449,1,30,F,european/pakeha,school,40,690
450,1,45,F,european/pakeha,school,18,270
451,1,30,F,european/pakeha,no qual,5,330
452,1,35,M,european/pakeha,vocational/trade,58,710
453,1,25,M,european/pakeha,vocational/trade,59,860
454,1,50,M,maori,bachelor or higher,45,2250
455,1,35,F,european/pakeha,bachelor or higher,40,930
456,1,50,F,european/pakeha,vocational/trade,38,940
457,1,30,F,european/pakeha,bachelor or higher,47,890
458,1,40,F,european/pakeha,bachelor or higher,16,190
459,1,35,F,european/pakeha,school,61,580
460,1,30,F,maori combination,school,17,500
461,1,25,M,european/pakeha,vocational/trade,40,1070
462,1,30,M,pacific,bachelor or higher,60,1220
463,1,45,F,european/pakeha,no qual,55,420
464,1,50,M,european/pakeha,post-school,74,1310
465,1,45,F,european/pakeha,no qual,25,190
466,1,55,M,other,post-school,54,1690
467,1,30,M,european/pakeha,bachelor or higher,40,1970
468,1,60,M,european/pakeha,vocational/trade,26,500
469,1,55,F,european/pakeha,vocational/trade,18,410
470,1,30,M,european/pakeha,bachelor or higher,40,780
471,1,45,F,european/pakeha,bachelor or higher,48,510
472,1,45,M,european/pakeha,vocational/trade,58,630
473,1,60,F,european/pakeha,post-school,3,190
474,1,50,F,european/pakeha,school,38,620
475,1,45,M,european/pakeha,school,40,650
476,1,25,M,european/pakeha,vocational/trade,40,580
477,1,40,M,european/pakeha,school,41,710
478,1,50,F,european/pakeha,bachelor or higher,63,3630
479,1,60,M,european/pakeha,school,26,460
480,1,40,F,other,vocational/trade,32,330
481,1,55,M,european/pakeha,school,12,290
482,1,40,M,european/pakeha,school,56,880
483,1,45,F,european/pakeha,school,38,410
484,1,25,M,european/pakeha,vocational/trade,35,720
485,1,60,F,european/pakeha,no qual,36,570
486,1,35,F,european/pakeha,vocational/trade,30,320
487,1,55,M,european/pakeha,vocational/trade,40,720
488,1,30,M,european/pakeha,vocational/trade,40,870
489,1,40,M,european/pakeha,no qual,40,780
490,1,50,M,european/pakeha,school,54,1470
491,1,45,M,european/pakeha,school,40,600
492,1,45,M,european/pakeha,school,64,770
493,1,60,M,european/pakeha,vocational/trade,40,820
494,1,35,M,european/pakeha,no qual,40,520
495,1,30,F,european/pakeha,vocational/trade,40,970
496,1,55,F,european/pakeha,vocational/trade,5,30
497,1,35,F,european/pakeha,school,16,210
498,1,55,F,european/pakeha,no qual,25,280
499,1,35,F,european/pakeha,no qual,25,320
500,1,55,M,european/pakeha,school,65,1290
501,1,45,F,maori combination,no qual,20,430
502,1,50,F,european/pakeha,no qual,37,510
503,1,30,F,european/pakeha,bachelor or higher,37,570
504,1,40,M,european/pakeha,vocational/trade,40,520
505,1,55,M,european/pakeha,vocational/trade,38,870
506,1,55,F,european/pakeha,no qual,8,190
507,1,60,F,european/pakeha,no qual,40,450
508,1,25,F,european/pakeha,vocational/trade,40,670
509,1,35,F,european/pakeha,vocational/trade,18,200
510,1,30,F,european/pakeha,post-school,43,590
511,1,40,F,maori combination,vocational/trade,25,860
512,1,40,M,other,vocational/trade,32,1180
513,1,60,M,pacific,no qual,39,670
514,1,30,M,european/pakeha,vocational/trade,41,740
515,1,30,M,european/pakeha,post-school,35,700
516,1,30,M,european/pakeha,school,50,720
517,1,55,F,european/pakeha,school,52,570
518,1,45,F,european/pakeha,school,38,620
519,1,45,M,other,bachelor or higher,19,470
520,1,55,F,european/pakeha,no qual,40,370
521,1,30,F,maori,school,21,1190
522,1,45,M,pacific,school,55,630
523,1,30,M,non-maori combination,no qual,28,410
524,1,30,F,european/pakeha,post-school,51,390
525,1,30,F,maori combination,bachelor or higher,40,540
526,1,30,M,european/pakeha,vocational/trade,66,860
527,1,55,F,european/pakeha,no qual,46,450
528,1,30,M,european/pakeha,vocational/trade,40,720
529,1,30,M,european/pakeha,bachelor or higher,44,1640
530,1,40,F,european/pakeha,bachelor or higher,40,890
531,1,30,M,european/pakeha,no qual,64,670
532,1,40,F,european/pakeha,vocational/trade,40,430
533,1,45,M,european/pakeha,school,40,580
534,1,25,F,maori,vocational/trade,33,410
535,1,30,F,european/pakeha,school,17,550
536,1,35,M,european/pakeha,no qual,50,950
537,1,60,F,european/pakeha,post-school,31,460
538,1,35,F,european/pakeha,bachelor or higher,31,1320
539,1,50,M,european/pakeha,vocational/trade,40,740
540,1,35,M,european/pakeha,school,60,790
541,1,25,M,pacific,vocational/trade,78,1000
542,1,30,F,maori,school,38,450
543,1,45,M,maori,no qual,87,1120
544,1,55,F,european/pakeha,school,29,360
545,1,30,M,maori combination,school,51,610
546,1,35,M,maori,school,53,970
547,1,25,M,european/pakeha,vocational/trade,10,380
548,1,35,F,european/pakeha,school,24,350
549,1,50,M,pacific,vocational/trade,70,1150
550,1,35,M,maori,school,53,1010
551,1,45,F,european/pakeha,school,27,390
552,1,35,M,european/pakeha,bachelor or higher,40,980
553,1,40,M,european/pakeha,no qual,70,630
554,1,50,M,european/pakeha,no qual,45,630
555,1,50,F,european/pakeha,no qual,54,710
556,1,25,M,european/pakeha,post-school,43,530
557,1,55,F,european/pakeha,no qual,22,560
558,1,55,F,european/pakeha,vocational/trade,43,860
559,1,60,F,european/pakeha,bachelor or higher,26,1200
560,1,30,M,european/pakeha,vocational/trade,40,880
561,1,35,M,european/pakeha,school,56,1680
562,1,35,M,european/pakeha,no qual,50,1040
563,1,25,F,european/pakeha,vocational/trade,24,310
564,1,55,F,european/pakeha,vocational/trade,35,300
565,1,40,M,european/pakeha,vocational/trade,40,980
566,1,60,M,european/pakeha,vocational/trade,39,660
567,1,30,F,european/pakeha,vocational/trade,40,540
568,1,55,M,european/pakeha,bachelor or higher,40,1320
569,1,35,M,maori combination,vocational/trade,58,680
570,1,35,F,european/pakeha,vocational/trade,19,260
571,1,25,M,european/pakeha,vocational/trade,45,870
572,1,35,M,european/pakeha,vocational/trade,45,1310
573,1,40,M,maori,bachelor or higher,52,1310
574,1,50,F,maori,vocational/trade,24,250
575,1,25,F,european/pakeha,school,12,390
576,1,40,M,european/pakeha,school,50,1050
577,1,35,M,european/pakeha,no qual,44,500
578,1,25,F,pacific,vocational/trade,34,460
579,1,55,M,european/pakeha,post-school,40,830
580,1,30,M,european/pakeha,vocational/trade,50,860
581,1,35,F,european/pakeha,school,38,560
582,1,60,M,european/pakeha,bachelor or higher,61,1680
583,1,25,F,european/pakeha,vocational/trade,54,640
584,1,55,F,european/pakeha,vocational/trade,24,340
585,1,40,M,european/pakeha,bachelor or higher,31,1460
586,1,40,F,european/pakeha,vocational/trade,36,570
587,1,25,M,pacific,post-school,41,360
588,1,45,M,european/pakeha,no qual,50,550
