"LOCATION","Country","SEX","Sex","AGE","Age","VAR","Variant","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1982","1982","PER","Persons","3","thousands",,,452.8545,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1983","1983","PER","Persons","3","thousands",,,449.626,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1984","1984","PER","Persons","3","thousands",,,447.164,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1985","1985","PER","Persons","3","thousands",,,446.192,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1986","1986","PER","Persons","3","thousands",,,447.569,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1987","1987","PER","Persons","3","thousands",,,453.6385,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1988","1988","PER","Persons","3","thousands",,,462.056,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1989","1989","PER","Persons","3","thousands",,,469.6865,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1990","1990","PER","Persons","3","thousands",,,478.5005,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1991","1991","PER","Persons","3","thousands",,,488.0145,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1992","1992","PER","Persons","3","thousands",,,494.6045,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1993","1993","PER","Persons","3","thousands",,,499.608,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1994","1994","PER","Persons","3","thousands",,,504.0205,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1995","1995","PER","Persons","3","thousands",,,503.848,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1996","1996","PER","Persons","3","thousands",,,499.953,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1997","1997","PER","Persons","3","thousands",,,497.067,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1998","1998","PER","Persons","3","thousands",,,497.77,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1999","1999","PER","Persons","3","thousands",,,501.5735,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2000","2000","PER","Persons","3","thousands",,,507.9805,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2001","2001","PER","Persons","3","thousands",,,515.614,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2002","2002","PER","Persons","3","thousands",,,521.0675,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2003","2003","PER","Persons","3","thousands",,,523.0465,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2004","2004","PER","Persons","3","thousands",,,519.8155,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2005","2005","PER","Persons","3","thousands",,,511.203,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2006","2006","PER","Persons","3","thousands",,,500.242,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2007","2007","PER","Persons","3","thousands",,,489.2685,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2008","2008","PER","Persons","3","thousands",,,480.1475,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2009","2009","PER","Persons","3","thousands",,,475.023,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2010","2010","PER","Persons","3","thousands",,,472.841,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2011","2011","PER","Persons","3","thousands",,,471.2375,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2012","2012","PER","Persons","3","thousands",,,468.7,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2013","2013","PER","Persons","3","thousands",,,463.5135,"B","Break"
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2014","2014","PER","Persons","3","thousands",,,473.7295,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2015","2015","PER","Persons","3","thousands",,,473.92,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2016","2016","PER","Persons","3","thousands",,,474.4845,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2017","2017","PER","Persons","3","thousands",,,475.616,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2018","2018","PER","Persons","3","thousands",,,477.1215,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2019","2019","PER","Persons","3","thousands",,,478.826,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2020","2020","PER","Persons","3","thousands",,,480.573,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2021","2021","PER","Persons","3","thousands",,,482.2475,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2022","2022","PER","Persons","3","thousands",,,483.759,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2023","2023","PER","Persons","3","thousands",,,484.999,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2024","2024","PER","Persons","3","thousands",,,485.9105,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2025","2025","PER","Persons","3","thousands",,,486.4745,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2026","2026","PER","Persons","3","thousands",,,486.6925,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2027","2027","PER","Persons","3","thousands",,,486.5855,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2028","2028","PER","Persons","3","thousands",,,486.188,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2029","2029","PER","Persons","3","thousands",,,485.55,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2030","2030","PER","Persons","3","thousands",,,484.7065,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2031","2031","PER","Persons","3","thousands",,,483.6675,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2032","2032","PER","Persons","3","thousands",,,482.4225,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2033","2033","PER","Persons","3","thousands",,,480.946,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2034","2034","PER","Persons","3","thousands",,,479.224,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2035","2035","PER","Persons","3","thousands",,,477.221,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2036","2036","PER","Persons","3","thousands",,,474.9085,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2037","2037","PER","Persons","3","thousands",,,472.3215,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2038","2038","PER","Persons","3","thousands",,,469.5265,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2039","2039","PER","Persons","3","thousands",,,466.633,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2040","2040","PER","Persons","3","thousands",,,463.771,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2041","2041","PER","Persons","3","thousands",,,461.065,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2042","2042","PER","Persons","3","thousands",,,458.62,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2043","2043","PER","Persons","3","thousands",,,456.5035,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2044","2044","PER","Persons","3","thousands",,,454.751,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2045","2045","PER","Persons","3","thousands",,,453.38,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2046","2046","PER","Persons","3","thousands",,,452.3735,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2047","2047","PER","Persons","3","thousands",,,451.6885,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2048","2048","PER","Persons","3","thousands",,,451.29,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2049","2049","PER","Persons","3","thousands",,,451.1435,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2050","2050","PER","Persons","3","thousands",,,451.1995,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1950","1950","PER","Persons","3","thousands",,,586.812,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1951","1951","PER","Persons","3","thousands",,,582.194,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1952","1952","PER","Persons","3","thousands",,,560.68,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1953","1953","PER","Persons","3","thousands",,,546.997,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1954","1954","PER","Persons","3","thousands",,,540.582,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1955","1955","PER","Persons","3","thousands",,,539.826,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1956","1956","PER","Persons","3","thousands",,,542.143,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1957","1957","PER","Persons","3","thousands",,,544.495,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1958","1958","PER","Persons","3","thousands",,,549.991,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1959","1959","PER","Persons","3","thousands",,,557.88,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1960","1960","PER","Persons","3","thousands",,,563.3055,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1961","1961","PER","Persons","3","thousands",,,569.6345,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1962","1962","PER","Persons","3","thousands",,,577.6,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1963","1963","PER","Persons","3","thousands",,,584.2385,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1964","1964","PER","Persons","3","thousands",,,589.251,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1965","1965","PER","Persons","3","thousands",,,592.794,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1966","1966","PER","Persons","3","thousands",,,592.4565,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1967","1967","PER","Persons","3","thousands",,,588.709,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1968","1968","PER","Persons","3","thousands",,,584.3025,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1969","1969","PER","Persons","3","thousands",,,581.3565,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1970","1970","PER","Persons","3","thousands",,,580.1885,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1971","1971","PER","Persons","3","thousands",,,577.0885,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1972","1972","PER","Persons","3","thousands",,,569.5185,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1973","1973","PER","Persons","3","thousands",,,554.37,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1974","1974","PER","Persons","3","thousands",,,530.2005,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1975","1975","PER","Persons","3","thousands",,,502.3495,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1976","1976","PER","Persons","3","thousands",,,476.7375,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1977","1977","PER","Persons","3","thousands",,,454.575,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1978","1978","PER","Persons","3","thousands",,,439.7075,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1979","1979","PER","Persons","3","thousands",,,432.733,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1980","1980","PER","Persons","3","thousands",,,431.798,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1981","1981","PER","Persons","3","thousands",,,433.616,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1982","1982","PER","Persons","3","thousands",,,432.9675,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1983","1983","PER","Persons","3","thousands",,,430.1295,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1984","1984","PER","Persons","3","thousands",,,427.866,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1985","1985","PER","Persons","3","thousands",,,427.139,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1986","1986","PER","Persons","3","thousands",,,428.9565,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1987","1987","PER","Persons","3","thousands",,,434.686,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1988","1988","PER","Persons","3","thousands",,,442.464,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1989","1989","PER","Persons","3","thousands",,,450.275,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1990","1990","PER","Persons","3","thousands",,,458.7575,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1991","1991","PER","Persons","3","thousands",,,466.713,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1992","1992","PER","Persons","3","thousands",,,472.4585,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1993","1993","PER","Persons","3","thousands",,,477.3435,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1994","1994","PER","Persons","3","thousands",,,481.242,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1995","1995","PER","Persons","3","thousands",,,480.9595,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1996","1996","PER","Persons","3","thousands",,,476.8815,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1997","1997","PER","Persons","3","thousands",,,473.998,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1998","1998","PER","Persons","3","thousands",,,475.001,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1999","1999","PER","Persons","3","thousands",,,478.2595,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2000","2000","PER","Persons","3","thousands",,,484.3075,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2001","2001","PER","Persons","3","thousands",,,492.2395,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2002","2002","PER","Persons","3","thousands",,,497.55,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2003","2003","PER","Persons","3","thousands",,,498.868,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2004","2004","PER","Persons","3","thousands",,,496.1055,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2005","2005","PER","Persons","3","thousands",,,488.186,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2006","2006","PER","Persons","3","thousands",,,477.2745,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2007","2007","PER","Persons","3","thousands",,,467.0355,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2008","2008","PER","Persons","3","thousands",,,458.494,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2009","2009","PER","Persons","3","thousands",,,453.1955,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2010","2010","PER","Persons","3","thousands",,,451.1525,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2011","2011","PER","Persons","3","thousands",,,449.6835,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2012","2012","PER","Persons","3","thousands",,,446.769,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2013","2013","PER","Persons","3","thousands",,,441.422,"B","Break"
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2014","2014","PER","Persons","3","thousands",,,447.3365,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2015","2015","PER","Persons","3","thousands",,,446.8715,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2016","2016","PER","Persons","3","thousands",,,447.36,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2017","2017","PER","Persons","3","thousands",,,448.3925,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2018","2018","PER","Persons","3","thousands",,,449.7845,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2019","2019","PER","Persons","3","thousands",,,451.3635,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2020","2020","PER","Persons","3","thousands",,,452.987,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2021","2021","PER","Persons","3","thousands",,,454.5495,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2022","2022","PER","Persons","3","thousands",,,455.9625,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2023","2023","PER","Persons","3","thousands",,,457.128,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2024","2024","PER","Persons","3","thousands",,,457.9895,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2025","2025","PER","Persons","3","thousands",,,458.526,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2026","2026","PER","Persons","3","thousands",,,458.7405,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2027","2027","PER","Persons","3","thousands",,,458.6495,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2028","2028","PER","Persons","3","thousands",,,458.2805,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2029","2029","PER","Persons","3","thousands",,,457.681,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2030","2030","PER","Persons","3","thousands",,,456.885,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2031","2031","PER","Persons","3","thousands",,,455.9025,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2032","2032","PER","Persons","3","thousands",,,454.728,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2033","2033","PER","Persons","3","thousands",,,453.3415,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2034","2034","PER","Persons","3","thousands",,,451.727,,
"NLD","Netherlands","FE","Females","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","2035","2035","PER","Persons","3","thousands",,,449.85,,
